frame,u,v
109,335.89,169.95
110,239.32,146.19
110,335.83,170.46
110,52.79,148.43
111,235.57,145.29
111,335.82,170.34
111,48.71,147.5
112,232.17,144.48
112,46.21,147.69
112,335.91,170.37
113,228.31,142.66
113,41.12,147.16
113,335.87,169.95
114,223.71,141.41
114,36.85,146.62
114,335.96,170.03
115,220.04,142.8
115,33.92,147.0
115,323.77,169.68
116,216.32,143.83
116,28.41,147.45
116,323.52,169.6
117,25.68,146.09
117,323.46,169.74
118,17.27,146.28
118,323.41,170.22
119,14.16,146.19
119,311.19,169.69
120,12.09,145.04
120,311.07,169.18
121,11.2,146.15
121,311.24,168.96
122,8.26,144.69
122,311.43,169.36
123,31.68,144.26
123,311.75,168.83
124,15.1,144.42
124,311.66,168.7
125,12.93,144.04
125,311.71,167.87
126,11.46,145.2
126,311.56,167.67
127,9.37,145.43
127,311.16,167.52
128,8.98,146.23
128,310.91,168.0
129,9.63,147.31
129,310.55,169.02
130,11.3,147.3
