frame,u,v
3,68.35,141.8
3,323.6,160.49
4,68.74,141.74
4,323.27,160.47
5,323.09,160.41
6,75.56,138.7
6,323.72,160.91
7,80.84,139.37
7,323.74,161.0
8,82.81,139.92
8,331.39,165.83
9,81.82,139.13
9,329.56,164.99
10,80.94,138.49
10,328.63,164.58
11,81.47,137.23
11,328.15,164.6
12,84.54,140.95
12,329.41,167.05
13,88.65,141.39
13,330.79,167.66
14,95.47,142.1
14,332.41,165.76
15,103.38,142.58
15,337.91,166.61
16,108.99,143.71
16,341.16,167.4
17,71.94,142.95
17,342.19,165.37
18,79.82,146.44
18,343.72,164.48
19,80.17,142.33
19,343.83,161.1
20,85.3,145.13
20,345.1,159.76
21,94.2,145.52
21,349.14,160.04
22,100.3,147.03
22,353.27,159.45
23,104.22,144.82
23,356.28,160.1
24,105.9,143.01
24,357.7,158.82
25,362.49,158.77
25,110.05,142.72
26,365.24,158.74
26,115.98,142.68
27,367.74,158.14
27,120.34,142.71
28,368.64,158.13
28,125.99,142.83
29,368.61,158.17
29,130.49,144.93
30,367.88,158.65
30,158.39,145.68
31,366.2,161.09
31,158.11,146.84
32,364.42,162.42
32,127.36,138.29
33,124.37,142.47
33,360.41,161.52
34,122.41,142.19
34,358.89,161.12
35,117.17,138.36
35,355.7,161.57
36,352.81,161.97
36,114.31,137.61
37,348.81,158.71
37,155.99,148.86
37,0.37,135.62
38,347.02,157.6
38,145.1,146.7
39,346.46,156.86
39,145.67,147.2
40,346.16,156.64
40,146.03,147.14
41,346.5,157.05
41,115.25,143.91
42,344.67,157.29
42,112.01,143.02
43,341.69,158.53
43,112.42,148.27
44,340.28,156.0
44,113.27,147.97
45,339.8,155.03
45,113.33,147.63
46,339.65,154.57
46,113.4,147.4
47,339.36,154.93
47,113.32,148.47
48,337.66,155.07
48,113.34,148.5
49,337.48,158.97
49,112.98,149.21
50,335.28,157.68
50,112.43,148.66
51,334.57,156.63
51,112.99,148.22
52,335.99,155.94
52,111.9,148.44
53,336.52,155.51
53,111.66,148.19
54,331.65,155.51
54,1.0,127.5
55,356.73,163.22
55,108.6,141.8
56,353.52,162.82
56,128.28,147.5
57,347.66,162.87
57,96.22,144.29
58,344.92,163.85
58,94.97,144.25
59,306.49,153.22
59,110.71,143.87
60,306.29,155.57
60,96.67,153.72
61,341.55,163.09
61,96.52,149.76
62,300.64,153.7
63,332.49,162.57
63,87.8,148.23
64,333.88,162.47
64,85.97,148.29
65,333.65,161.31
65,84.55,148.23
66,333.03,160.71
66,83.45,143.41
67,332.62,158.07
67,80.32,142.8
68,332.79,158.74
68,1.0,130.81
69,334.86,158.82
69,1.94,136.05
70,339.86,159.91
70,105.26,147.7
71,339.47,159.7
71,109.43,148.02
72,339.84,160.6
72,113.04,148.02
73,340.38,161.52
73,114.56,149.16
74,335.61,161.66
74,115.07,149.94
75,335.95,161.49
75,117.11,150.09
76,337.31,161.02
76,119.97,149.99
77,339.98,160.83
77,125.1,151.1
78,341.77,159.95
78,128.9,150.15
79,341.86,159.56
79,131.41,150.04
80,341.56,159.8
80,131.22,150.83
81,341.27,160.43
81,132.44,151.28
82,340.28,160.21
82,133.36,152.79
83,338.02,160.18
83,132.55,152.62
84,337.03,159.78
84,133.76,152.84
85,335.55,159.06
85,132.17,152.97
86,332.78,158.8
86,131.51,152.43
87,331.13,159.04
87,1.0,137.51
87,131.33,152.72
88,362.6,160.58
88,1.0,138.02
88,129.22,152.46
89,325.58,160.44
89,126.91,151.37
90,323.81,160.73
90,125.16,151.46
91,323.37,161.1
91,126.19,152.4
92,323.65,161.03
92,127.11,150.97
93,357.86,161.94
93,130.85,155.48
94,359.6,162.63
94,133.54,157.42
95,326.87,160.27
95,134.31,157.96
96,328.79,160.1
97,366.63,160.16
97,146.25,159.19
98,372.47,158.49
98,332.51,157.95
98,147.54,154.07
99,375.44,157.06
99,331.95,156.83
100,375.93,158.23
101,375.73,159.09
101,156.58,156.44
102,373.95,159.39
102,331.62,158.41
102,151.88,155.96
103,375.06,159.75
103,330.05,157.43
103,155.61,157.12
104,329.85,155.76
104,2.61,144.23
105,329.46,155.43
105,2.66,143.92
106,329.37,156.14
106,163.28,155.75
107,329.55,157.26
107,165.16,156.63
108,331.55,158.44
108,168.25,156.46
109,332.72,158.74
109,170.63,156.36
110,333.55,157.75
111,334.92,156.08
111,172.69,149.7
112,335.82,154.21
113,336.31,153.0
113,175.67,150.14
114,337.75,151.62
114,180.0,149.64
115,338.04,151.32
115,183.45,153.33
116,338.83,151.63
116,185.5,154.68
117,338.17,152.25
117,185.83,155.62
118,367.97,156.25
118,185.95,156.23
119,366.28,155.2
119,186.45,156.26
120,365.81,154.16
120,183.25,150.8
121,363.44,154.37
121,175.72,149.4
122,359.6,154.37
122,175.15,148.95
123,357.76,153.56
123,173.18,149.48
124,357.09,153.02
124,172.87,149.09
125,357.26,152.94
125,173.07,148.55
126,357.46,152.05
126,173.54,148.77
127,359.82,151.92
127,174.0,126.17
127,108.82,146.06
128,360.5,152.15
128,174.1,125.88
128,109.19,145.66
129,358.77,152.05
129,174.04,125.28
129,109.6,145.3
130,358.19,151.27
130,174.19,125.24
130,110.13,145.18
131,357.74,150.76
131,173.32,123.95
131,110.62,144.82
132,356.13,151.57
132,170.36,122.25
133,354.6,151.99
133,169.51,121.77
134,354.5,151.83
134,169.07,122.16
135,354.26,152.22
135,168.76,122.21
136,354.44,152.57
136,168.92,122.42
137,353.93,152.08
137,168.59,120.27
138,353.64,151.61
138,168.27,118.63
139,353.09,151.13
139,164.24,118.78
139,101.41,145.43
140,353.25,150.84
140,163.49,118.22
140,100.96,145.3
141,355.18,150.29
141,166.69,118.42
141,99.83,145.68
142,358.92,150.54
142,169.28,119.38
143,360.49,150.63
143,171.74,117.44
144,361.7,151.39
144,173.64,113.87
145,362.92,151.33
145,127.75,113.26
146,363.81,150.5
146,130.09,111.95
147,364.0,149.14
147,123.97,110.82
148,363.36,148.98
148,125.36,149.46
149,362.65,149.23
149,126.21,149.75
150,361.82,149.78
150,126.79,150.62
151,360.2,150.74
151,127.29,108.57
152,359.74,149.75
152,129.99,106.37
153,358.98,149.82
153,130.64,104.75
154,355.85,150.37
154,127.84,103.96
155,353.69,150.33
155,125.85,102.3
156,352.15,149.68
156,125.15,102.25
157,350.71,149.05
157,122.67,97.74
158,350.71,147.97
158,121.21,91.25
159,383.96,147.2
159,121.44,88.69
160,418.3,146.92
160,123.66,86.96
161,420.68,147.47
161,123.7,83.93
162,422.68,147.73
162,354.67,148.71
163,426.22,147.91
163,254.97,125.14
163,357.26,148.74
164,428.15,148.17
164,256.59,124.82
165,430.18,148.64
165,257.42,125.65
166,402.36,147.25
166,259.63,122.82
167,405.82,147.39
168,408.32,148.53
169,410.05,149.28
170,411.14,150.03
171,412.82,149.46
172,414.26,149.36
173,416.47,148.74
173,173.23,120.31
174,162.76,121.48
175,422.85,147.09
175,167.41,120.01
176,427.76,145.54
176,171.62,120.7
177,432.08,146.12
177,174.93,116.94
178,436.25,145.59
178,179.93,114.13
179,439.15,146.19
179,179.19,111.14
180,441.53,146.33
180,181.23,107.92
181,443.95,147.3
181,183.47,107.78
182,450.56,145.45
182,1.0,13.22
183,453.24,144.36
184,453.73,145.33
185,454.62,143.31
185,223.1,159.79
186,458.64,143.38
186,223.54,158.81
187,460.59,142.97
187,196.93,158.05
188,463.07,141.76
188,200.07,156.7
189,186.48,156.83
190,185.76,156.55
191,195.62,159.01
192,198.7,160.6
193,200.53,160.67
194,201.16,158.96
195,201.75,158.59
196,198.8,158.61
197,1.0,2.97
197,196.98,156.94
198,196.44,157.57
199,198.13,156.21
200,530.11,129.03
200,162.51,155.19
200,236.9,162.51
201,539.09,129.18
201,163.08,152.23
201,234.9,161.85
202,543.41,126.97
202,234.57,161.02
203,549.4,125.48
204,551.53,123.68
205,554.93,118.3
205,243.01,161.07
206,558.49,119.99
206,163.25,156.29
206,244.32,161.02
207,564.3,118.73
207,163.47,156.31
207,245.56,161.06
209,445.88,165.33
210,442.48,164.08
211,438.06,164.28
212,436.16,163.98
213,430.41,162.98
214,426.67,162.27
215,423.2,163.92
216,417.47,164.45
217,407.44,163.62
218,401.27,163.56
219,395.39,163.99
220,358.56,165.25
221,406.9,164.36
222,444.6,168.73
223,473.28,172.23
224,475.48,171.78
224,401.66,162.99
225,370.5,161.64
225,476.89,172.16
226,357.55,162.58
226,476.72,171.42
227,358.32,161.34
227,473.39,168.75
228,358.2,161.68
228,471.48,167.93
229,357.41,161.03
230,357.62,160.97
231,467.75,167.93
231,347.64,161.08
232,465.17,169.1
232,347.17,160.78
233,459.08,165.2
233,345.99,162.19
234,458.38,137.75
234,344.76,163.57
235,458.64,138.75
235,344.1,163.1
236,322.43,162.77
237,321.69,162.51
238,436.41,143.72
238,323.12,162.14
239,434.52,143.51
239,498.01,137.27
239,317.06,159.46
240,431.6,144.03
240,308.47,159.65
241,431.1,146.88
241,302.29,160.74
242,431.78,149.2
242,298.48,160.62
243,430.24,147.16
243,293.91,160.37
244,290.77,160.98
245,291.43,161.93
246,291.44,162.02
247,290.74,160.13
248,476.77,144.55
248,290.73,159.5
249,478.66,145.44
249,290.33,158.34
250,292.26,159.22
251,293.64,159.76
252,293.56,159.71
253,292.96,159.22
254,291.15,159.11
255,289.36,159.26
256,286.35,159.38
257,317.53,161.45
258,333.98,166.59
259,270.92,156.87
260,333.49,166.34
260,264.08,156.26
261,334.23,166.41
261,261.43,155.48
262,334.54,166.67
263,266.03,156.88
263,345.6,167.17
264,270.99,157.73
