frameID,groupID,x,y,w,h
40,0,17.72,114.62,155.18,201.15
41,0,7.85,115.31,157.21,201.9
42,0,1.0,109.72,151.47,214.01
43,0,1.0,107.62,147.1,218.4
45,1,212.26,198.23,57.28,31.44
45,2,308.03,201.91,22.34,16.21
46,1,212.83,198.12,56.81,31.47
46,2,307.91,201.18,22.59,16.78
47,1,213.76,197.73,56.61,31.83
47,2,308.52,200.27,22.99,17.64
48,1,214.12,197.6,117.85,30.66
49,1,235.37,196.54,96.96,30.23
50,1,236.82,195.14,22.58,31.47
51,1,241.87,195.34,26.64,31.41
52,3,227.31,194.42,41.52,31.25
53,3,227.67,193.24,41.72,32.44
54,3,227.11,191.5,42.69,32.7
55,3,227.01,190.96,42.61,32.94
56,3,227.08,189.52,102.97,34.28
57,1,231.67,189.84,61.26,34.88
58,1,231.17,188.87,62.02,35.62
59,1,200.17,194.64,108.75,31.2
60,1,199.22,195.32,109.91,32.11
61,4,208.04,191.04,40.02,40.16
62,1,211.13,190.22,57.92,41.4
63,1,215.23,190.61,54.33,40.43
64,1,217.24,189.83,41.13,40.19
65,1,219.81,188.28,41.13,39.76
66,1,220.41,186.62,41.81,40.85
67,1,218.59,187.62,43.38,39.48
68,1,216.35,188.2,44.88,40.19
69,0,320.0,197.23,18.77,21.56
69,1,215.57,188.88,45.69,40.63
70,0,319.96,198.72,23.35,19.05
70,1,218.04,189.18,63.14,41.72
71,1,222.94,190.98,59.48,40.24
72,1,229.1,192.26,66.27,40.93
73,1,275.11,198.87,19.58,29.17
74,1,279.35,197.8,14.36,32.53
75,5,282.15,197.37,25.8,33.86
76,5,282.02,197.12,36.59,34.35
77,5,244.59,196.06,73.19,39.65
78,5,241.71,194.63,75.46,41.57
79,5,241.11,194.19,75.16,42.32
80,5,280.57,196.47,35.8,33.38
80,6,346.99,200.13,21.07,18.75
81,5,282.67,195.5,34.67,33.15
82,5,284.95,193.6,34.21,35.99
83,5,290.02,194.46,28.79,33.39
85,5,298.75,195.66,17.04,28.33
86,5,299.91,195.27,16.6,29.21
87,5,298.99,194.76,18.34,30.19
88,1,251.48,183.86,57.67,48.98
89,1,244.34,184.11,65.95,49.89
90,1,238.66,184.33,60.06,50.34
91,1,232.92,186.61,62.28,49.11
91,6,356.16,199.77,23.28,18.19
92,1,275.3,195.03,31.55,38.39
92,6,355.97,199.6,24.99,18.33
93,5,264.5,195.11,42.83,40.78
94,1,262.01,195.78,34.03,39.72
95,1,258.88,194.66,35.16,40.55
96,1,255.75,194.3,36.73,40.9
97,1,236.18,194.66,50.61,40.09
98,1,236.6,194.38,48.52,41.1
99,1,237.31,193.14,55.42,42.49
100,1,239.25,191.12,52.89,43.17
101,1,239.87,190.04,51.98,43.25
101,6,344.08,199.46,23.72,18.76
102,1,249.07,190.96,44.21,44.99
102,6,346.73,199.98,21.86,18.41
103,1,248.11,192.18,47.59,45.25
103,6,349.1,200.03,19.26,18.96
104,1,249.2,191.89,59.03,45.93
104,6,351.36,200.01,17.08,19.05
105,5,276.06,190.49,33.17,47.98
106,5,260.17,189.27,49.28,49.47
106,6,358.79,200.96,22.66,18.19
107,7,248.77,189.14,44.27,50.05
107,6,359.57,201.01,22.18,18.45
108,1,247.7,188.67,45.42,49.95
