,frameID,groupID,x,y,w,h,segment_num,dataset
0,40,0,17.72,114.62,155.18,201.15,1,train
1,41,0,7.85,115.31,157.21,201.9,1,train
2,42,0,1.0,109.72,151.47,214.01,1,train
3,43,0,1.0,107.62,147.1,218.4,1,train
4,45,1,212.26,198.23,57.28,31.44,1,train
5,45,2,308.03,201.91,22.34,16.21,1,train
6,46,1,212.83,198.12,56.81,31.47,1,train
7,46,2,307.91,201.18,22.59,16.78,1,train
8,47,1,213.76,197.73,56.61,31.83,1,train
9,47,2,308.52,200.27,22.99,17.64,1,train
10,48,1,214.12,197.6,117.85,30.66,1,train
11,49,1,235.37,196.54,96.96,30.23,1,train
12,50,1,236.82,195.14,22.58,31.47,1,train
13,51,1,241.87,195.34,26.64,31.41,1,train
14,52,3,227.31,194.42,41.52,31.25,1,train
15,53,3,227.67,193.24,41.72,32.44,1,train
16,54,3,227.11,191.5,42.69,32.7,1,train
17,55,3,227.01,190.96,42.61,32.94,1,train
18,56,3,227.08,189.52,102.97,34.28,1,train
19,57,1,231.67,189.84,61.26,34.88,1,train
20,58,1,231.17,188.87,62.02,35.62,1,train
21,59,1,200.17,194.64,108.75,31.2,1,train
22,60,1,199.22,195.32,109.91,32.11,1,train
23,61,4,208.04,191.04,40.02,40.16,1,train
24,62,1,211.13,190.22,57.92,41.4,1,train
25,63,1,215.23,190.61,54.33,40.43,1,train
26,64,1,217.24,189.83,41.13,40.19,1,train
27,65,1,219.81,188.28,41.13,39.76,1,train
28,66,1,220.41,186.62,41.81,40.85,1,train
29,67,1,218.59,187.62,43.38,39.48,1,train
30,68,1,216.35,188.2,44.88,40.19,1,train
31,69,0,320.0,197.23,18.77,21.56,1,train
32,69,1,215.57,188.88,45.69,40.63,1,train
33,70,0,319.96,198.72,23.35,19.05,1,train
34,70,1,218.04,189.18,63.14,41.72,1,train
35,71,1,222.94,190.98,59.48,40.24,1,train
36,72,1,229.1,192.26,66.27,40.93,1,train
37,73,1,275.11,198.87,19.58,29.17,1,train
38,74,1,279.35,197.8,14.36,32.53,1,train
39,75,5,282.15,197.37,25.8,33.86,1,train
40,76,5,282.02,197.12,36.59,34.35,1,train
41,77,5,244.59,196.06,73.19,39.65,1,train
42,78,5,241.71,194.63,75.46,41.57,1,train
43,79,5,241.11,194.19,75.16,42.32,1,train
44,80,5,280.57,196.47,35.8,33.38,1,train
45,80,6,346.99,200.13,21.07,18.75,1,train
46,81,5,282.67,195.5,34.67,33.15,1,train
47,82,5,284.95,193.6,34.21,35.99,1,train
48,83,5,290.02,194.46,28.79,33.39,1,train
49,85,5,298.75,195.66,17.04,28.33,1,train
50,86,5,299.91,195.27,16.6,29.21,1,train
51,87,5,298.99,194.76,18.34,30.19,1,train
52,88,1,251.48,183.86,57.67,48.98,1,train
53,89,1,244.34,184.11,65.95,49.89,1,train
54,90,1,238.66,184.33,60.06,50.34,1,train
55,91,1,232.92,186.61,62.28,49.11,1,train
56,91,6,356.16,199.77,23.28,18.19,1,train
57,92,1,275.3,195.03,31.55,38.39,1,train
58,92,6,355.97,199.6,24.99,18.33,1,train
59,93,5,264.5,195.11,42.83,40.78,1,train
60,94,1,262.01,195.78,34.03,39.72,1,train
61,95,1,258.88,194.66,35.16,40.55,1,train
62,96,1,255.75,194.3,36.73,40.9,1,train
63,97,1,236.18,194.66,50.61,40.09,1,train
64,98,1,236.6,194.38,48.52,41.1,1,train
65,99,1,237.31,193.14,55.42,42.49,1,train
66,100,1,239.25,191.12,52.89,43.17,1,train
67,101,1,239.87,190.04,51.98,43.25,1,train
68,101,6,344.08,199.46,23.72,18.76,1,train
69,102,1,249.07,190.96,44.21,44.99,1,train
70,102,6,346.73,199.98,21.86,18.41,1,train
71,103,1,248.11,192.18,47.59,45.25,1,train
72,103,6,349.1,200.03,19.26,18.96,1,train
73,104,1,249.2,191.89,59.03,45.93,1,train
74,104,6,351.36,200.01,17.08,19.05,1,train
75,105,5,276.06,190.49,33.17,47.98,1,train
76,106,5,260.17,189.27,49.28,49.47,1,train
77,106,6,358.79,200.96,22.66,18.19,1,train
78,107,7,248.77,189.14,44.27,50.05,1,train
79,107,6,359.57,201.01,22.18,18.45,1,train
80,108,1,247.7,188.67,45.42,49.95,1,train
81,109,6,344.57,200.79,24.05,18.44,1,train
82,110,6,345.57,200.7,24.99,18.61,1,train
83,110,5,237.28,189.24,32.93,49.79,1,train
84,111,6,345.25,200.51,23.33,18.56,1,train
85,111,5,236.02,186.8,34.88,51.79,1,train
86,112,6,345.59,199.23,22.9,19.3,1,train
87,113,6,345.79,199.44,24.11,18.84,1,train
88,120,1,308.21,163.17,100.75,136.23,1,train
89,121,1,310.74,164.65,93.88,134.21,1,train
90,122,1,308.75,163.44,87.95,135.9,1,train
91,123,1,310.56,162.43,86.44,129.33,1,train
92,124,1,308.98,160.94,89.53,127.55,1,train
93,125,1,309.87,159.43,89.99,127.09,1,train
94,128,1,309.45,161.78,89.02,126.14,1,train
95,129,1,309.91,166.08,87.27,120.82,1,train
96,131,1,320.66,167.55,77.66,118.24,1,train
97,132,1,298.61,168.32,106.17,117.43,1,train
98,133,1,298.86,170.97,109.55,117.84,1,train
99,134,1,310.02,172.75,101.96,116.1,1,train
100,135,1,310.23,171.94,109.19,111.92,1,train
101,140,1,309.43,199.29,20.68,19.85,1,train
102,141,1,309.47,173.35,91.23,105.6,1,train
103,142,1,298.71,175.94,93.19,101.74,1,train
104,143,1,298.81,174.4,86.41,102.98,1,train
105,152,1,346.23,179.37,59.45,91.79,1,train
106,153,1,346.04,179.5,62.96,91.77,1,train
107,154,1,345.43,180.16,64.72,92.43,1,train
108,154,7,260.03,180.59,37.22,76.15,1,train
109,155,7,261.76,178.96,38.06,79.03,1,train
110,156,7,262.35,179.69,38.98,77.84,1,train
111,159,7,260.12,181.37,39.17,75.13,1,train
112,160,7,259.02,181.94,38.71,73.04,1,train
113,160,8,367.64,179.19,67.21,91.89,1,train
114,161,7,258.85,182.41,34.74,66.03,1,train
115,161,8,366.76,177.86,63.74,91.35,1,train
116,162,1,345.19,176.71,83.21,91.33,1,train
117,163,1,344.91,176.77,82.0,90.19,1,train
118,164,7,259.33,174.02,38.21,78.24,1,train
119,164,8,367.92,177.45,59.17,87.67,1,train
120,165,7,259.29,174.3,39.21,78.17,1,train
121,165,8,367.63,176.96,59.18,86.44,1,train
122,166,8,367.6,176.64,59.57,86.28,1,train
123,167,8,368.67,175.71,59.77,87.13,1,train
124,168,8,369.62,174.86,58.88,87.27,1,train
125,169,8,364.71,177.74,57.39,84.79,1,train
126,170,1,333.33,177.87,80.72,86.55,1,train
127,171,1,332.0,179.22,52.35,86.92,1,train
128,172,1,330.95,179.38,48.17,86.56,1,train
129,174,1,333.43,179.57,48.11,88.06,1,train
130,175,1,332.81,180.51,50.18,88.24,1,train
131,176,8,348.48,180.01,64.03,87.36,1,train
132,204,5,110.62,135.73,113.94,159.31,1,train
133,205,5,103.75,135.02,114.88,162.5,1,train
134,207,5,85.69,130.55,116.35,172.49,1,train
135,208,5,78.33,126.26,119.28,178.8,1,train
136,209,5,73.57,120.96,124.33,192.77,1,train
137,210,5,71.55,118.32,127.33,196.7,1,train
138,211,5,67.51,119.04,132.44,203.49,1,train
139,212,5,58.97,115.22,139.37,216.29,1,train
140,213,5,50.34,112.34,143.46,223.68,1,train
141,214,5,43.27,111.91,139.6,221.86,1,train
142,215,1,230.34,201.7,30.94,33.56,1,train
143,215,5,37.29,116.01,138.16,226.76,1,train
144,216,1,225.57,196.23,34.82,42.33,1,train
145,216,5,23.46,118.77,137.64,229.47,1,train
146,217,1,223.71,199.26,34.26,40.41,1,train
147,217,5,7.61,115.06,148.11,235.55,1,train
148,218,1,223.24,198.99,33.75,41.55,1,train
149,218,5,1.0,111.09,152.59,240.2,1,train
150,219,1,225.4,199.04,32.44,41.8,1,train
151,219,5,1.0,106.48,143.82,244.72,1,train
152,220,1,222.96,198.2,58.03,42.07,1,train
153,220,5,1.0,86.8,138.24,267.36,1,train
154,221,1,218.1,194.12,62.73,45.33,1,train
155,222,1,215.05,190.92,60.24,47.51,1,train
156,222,8,349.09,187.47,56.49,61.7,1,train
157,223,1,213.56,188.08,60.04,48.49,1,train
158,223,8,348.67,186.92,55.82,61.95,1,train
159,224,1,212.64,187.46,39.14,48.3,1,train
160,224,8,348.71,185.96,55.16,60.79,1,train
161,225,1,206.98,188.5,62.26,48.39,1,train
162,225,8,345.64,184.78,54.42,61.8,1,train
163,226,1,202.81,189.84,64.6,47.6,1,train
164,226,8,343.05,185.07,53.17,60.48,1,train
165,227,1,196.52,189.72,41.27,47.82,1,train
166,227,8,340.36,185.79,52.37,59.26,1,train
167,228,1,193.12,189.87,69.07,47.17,1,train
168,228,8,338.45,185.97,52.24,58.9,1,train
169,229,1,183.76,188.21,41.83,47.62,1,train
170,229,8,330.91,185.44,51.54,59.45,1,train
171,230,1,173.68,186.36,43.15,49.29,1,train
172,230,8,324.33,185.12,50.99,60.61,1,train
173,231,1,167.17,186.03,40.36,49.56,1,train
174,231,8,318.09,184.87,52.18,60.85,1,train
175,232,1,157.15,186.09,42.66,50.14,1,train
176,232,8,311.47,184.67,51.26,61.32,1,train
177,233,1,147.79,184.79,43.47,51.78,1,train
178,233,8,303.71,184.21,52.07,61.35,1,train
179,234,1,135.48,183.2,44.02,53.86,1,train
180,234,8,295.32,182.93,51.92,61.71,1,train
181,235,1,128.47,183.63,43.39,53.22,1,train
182,235,8,290.72,183.04,53.02,60.24,1,train
183,236,1,122.97,183.26,43.37,53.66,1,train
184,236,8,288.2,183.89,52.22,57.77,1,train
185,237,1,117.64,182.9,44.12,53.54,1,train
186,237,8,285.66,184.63,52.47,57.61,1,train
187,238,1,111.47,181.7,46.06,56.73,1,train
188,238,8,282.3,184.03,53.54,59.65,1,train
189,239,1,103.78,182.2,47.71,57.66,1,train
190,239,8,279.46,184.01,53.27,60.96,1,train
191,240,1,98.07,182.34,49.14,58.35,1,train
192,240,8,276.98,184.88,54.24,60.04,1,train
193,241,1,94.55,183.82,48.75,57.62,1,train
194,241,8,275.45,185.96,53.39,58.15,1,train
195,242,1,85.43,182.98,52.82,60.01,1,train
