frame,u,v
71,274.41,197.675
74,279.83000000000004,198.255
438,317.31,196.03500000000003
1048,360.19,203.59
1061,225.87,202.185
1079,255.765,187.37
1321,165.345,206.525
1322,165.575,205.85
1342,349.435,208.995
1350,264.65,220.42
1354,276.875,219.05
1392,347.44,208.38
1393,347.585,208.8
1395,347.6,209.57
1484,298.245,240.9
1485,296.285,242.41
1488,306.995,247.985
1492,356.345,247.985
1630,271.30999999999995,205.335
1785,335.55,201.575
1786,357.055,202.59
1798,452.225,202.065
1810,334.425,205.63
1810,308.36,203.07
1811,357.57,204.52
1814,370.485,205.895
1831,491.575,197.6
1900,316.56,198.895
1921,330.93499999999995,203.145
1922,331.63,203.03
2044,307.75,198.23
2085,387.69000000000005,189.195
2100,345.975,189.995
2114,308.67999999999995,200.415
2155,357.41,190.09
2448,320.43,205.0
2610,296.63,198.615
2633,323.195,194.755
2635,262.95,196.495
2650,359.925,199.355
2665,333.525,197.225
2680,284.165,195.75
2731,322.265,200.39
2731,359.6,201.605
2761,398.11,196.3
2800,146.63,181.575
2805,139.035,182.315
2861,309.7999999999999,201.065
2867,333.17999999999995,200.75
3074,373.15,213.05
3075,336.045,212.33
3089,335.73,211.05
3102,405.405,206.76
3114,296.875,200.335
3117,335.5499999999999,205.58
3128,348.03,206.52
3150,332.35,205.36
3152,333.805,204.685
3153,334.5800000000001,204.43
3165,348.1,201.145
3169,336.86,200.75
3171,323.5850000000001,202.11
3173,310.2999999999999,206.59
3184,273.29999999999995,208.18
3205,320.27,201.045
3221,336.23,207.16000000000003
3377,128.655,194.705
3434,262.13,200.625
3500,400.095,200.525
3561,299.54,210.585
3573,358.80999999999995,205.245
3610,396.34,204.88
3627,335.645,206.555
3628,334.9,206.07
3679,330.395,200.665
3680,344.445,202.48
3695,314.095,202.675
3697,312.31,202.845
3921,46.15000000000001,209.21
3953,90.1,204.99
4030,328.14,191.53500000000003
4274,363.27,208.27
4370,399.845,210.125
5094,348.355,208.66000000000003
5099,349.85,209.56
5113,362.665,205.765
5118,360.475,205.935
5120,346.415,204.485
5122,374.365,206.775
5130,384.515,207.43
5132,384.275,208.535
5134,420.45,208.395
5145,394.935,204.295
5223,325.22,198.86
5224,322.465,199.615
5225,322.875,199.38
5228,254.82,205.425
5239,249.34,206.06
5260,360.2150000000001,208.58
5296,395.55,203.05
5309,338.745,209.915
5321,287.37,211.545
5322,396.25,208.195
5375,384.3250000000001,202.72
5406,518.885,195.865
5422,408.795,207.455
5424,413.05,207.25
5430,385.22,203.735
5535,371.335,190.9
5551,362.205,189.25
5802,333.2050000000001,204.24
5824,331.35,206.46
5825,334.4,206.395
5826,334.505,206.52
5832,335.775,202.395
5848,359.7999999999999,203.13
5862,335.645,201.36
5885,349.63,203.735
5901,373.625,205.005
5913,309.88,204.035
5979,447.665,203.705
6059,378.49,185.73
6175,334.53,195.93
6328,311.78,201.4
6329,360.115,202.145
6429,337.1,202.225
6474,335.795,203.29
6508,334.44,204.19
6557,274.34,199.84
6621,192.315,175.72500000000005
6679,334.595,204.88
6703,323.735,203.02
6714,322.815,204.9
6715,349.47,204.22
6719,360.76,202.72
6733,305.055,186.465
6733,359.97,203.475
6734,360.765,202.685
6745,279.795,186.115
6748,293.26,188.98
6754,336.16,203.05
6800,337.095,202.76
6806,335.82,204.35
6814,349.305,204.24
6827,362.675,200.755
6839,349.365,203.095
6867,320.68,202.795
6875,337.345,202.985
6876,347.6,202.655
6887,358.03,203.17
6889,372.51,203.55
6890,348.625,203.25
6908,347.74,200.275
6910,259.58500000000004,197.55
6911,264.125,197.03
6915,338.2,195.76
6917,359.91,202.4
6926,371.09,203.665
6939,372.74,203.905
6943,383.825,202.245
7399,479.145,199.22
7414,475.78,191.605
7507,541.9300000000002,192.685
7548,567.87,189.67
7555,556.485,189.305
7572,564.5150000000001,187.735
7573,531.625,185.5
7576,519.535,183.415
7614,397.295,183.215
7758,422.355,181.225
7773,358.265,192.78
7804,529.41,198.795
7866,248.245,181.18
7890,323.94,195.15
7926,146.935,198.15
7929,420.865,199.665
7944,292.7050000000001,194.39
7951,99.455,193.285
7969,327.0800000000001,188.53
7987,389.315,188.43
8078,349.525,221.84
8148,349.045,185.29
8150,361.465,189.08
8250,361.41,203.93
8378,347.085,201.38
8404,382.9,203.255
8405,382.625,202.905
8412,369.695,197.86
8543,321.6,195.33
8591,430.57000000000005,189.14
8719,408.01,194.79
8721,390.67,195.635
8860,308.625,201.23
8864,350.0850000000001,205.395
8915,346.4,168.38
8916,333.85,168.95
9045,302.16,177.8
9243,138.75,134.97
9395,240.415,168.91000000000003
9484,205.095,168.335
9585,95.88,171.98000000000005
9681,297.615,163.235
9757,340.45,170.83499999999995
9814,337.3250000000001,172.125
9846,311.445,173.98000000000005
9872,335.775,175.64499999999995
9886,335.9,171.47500000000005
9887,335.075,171.925
9888,336.64,171.995
9889,337.0,172.635
9904,335.485,176.935
9953,275.53,169.70999999999995
9961,370.385,180.745
9962,370.395,180.63
9966,370.645,179.55
9968,370.44,179.55
9997,369.965,182.765
10125,433.72,215.7
10157,352.36,203.35
10158,353.41,202.265
10182,307.6749999999999,184.855
10187,283.07000000000005,189.625
10194,304.145,196.55
10197,93.21,200.455
10206,354.705,202.795
10290,70.33500000000001,185.695
10291,186.79,194.405
10640,1.845,172.175
10733,212.265,186.485
11058,370.685,196.185
11065,395.55,188.23
11071,384.525,200.525
11083,385.575,202.235
11088,371.595,200.22
11241,214.225,191.965
11252,375.19500000000005,168.885
11280,269.805,175.47500000000005
11301,269.49,185.735
11308,322.725,188.96
11757,356.295,188.785
11817,289.74,189.495
11869,335.045,177.77499999999995
11870,388.935,168.675
12025,310.185,172.79
12031,276.805,171.445
12033,328.65,171.32999999999996
12075,359.53,178.535
12084,298.97,170.1
12086,310.5499999999999,173.325
12179,382.455,177.14
12207,385.3250000000001,168.905
12210,401.175,172.21499999999997
12262,249.755,169.29000000000005
12263,251.59,169.08499999999995
12302,233.315,168.385
12326,446.08,179.29500000000004
12424,319.85,167.615
12427,332.255,170.16500000000005
12499,387.795,157.89499999999995
12500,387.945,157.93
12550,347.66,172.06
12643,278.775,162.84
12686,355.9,167.45499999999996
12710,287.265,164.495
13088,420.975,202.985
13098,455.625,206.245
13124,441.68,202.645
13137,432.185,200.93
13141,419.675,199.31
13183,358.3350000000001,204.08
13196,139.755,207.105
13251,345.0800000000001,210.21
13256,397.5,204.175
13260,385.01,204.125
13266,358.395,201.42
13295,320.62,190.825
13315,369.54,201.93
13321,383.605,202.375
13346,384.165,203.74
13357,347.62,204.31
13360,323.15,204.14
13361,334.535,204.36
13371,333.975,199.74
13375,347.255,202.145
13385,335.4600000000001,203.48
13392,335.28,201.315
13395,334.815,200.905
13422,369.035,198.575
13444,323.755,201.975
13540,309.105,204.9
13555,388.415,196.56
13558,402.02,195.565
13572,436.82,200.71
13586,450.605,198.345
13603,530.5899999999998,193.45
13635,517.44,191.635
13638,417.275,199.855
13870,379.555,206.435
13997,361.27,212.325
14186,428.44,188.655
14190,314.3,198.5
14243,534.085,193.955
14299,1.8,193.595
14352,208.5,188.65
14365,145.405,189.225
14518,356.14,165.805
14542,284.6,169.975
14551,322.24,172.14499999999995
14970,257.58500000000004,216.2
14973,497.115,201.17
15224,373.38,171.42000000000004
15245,322.3250000000001,167.78500000000003
15256,368.15,169.865
15345,374.005,176.14499999999995
15407,320.865,159.49
15602,288.895,162.875
15728,377.825,171.56
15950,358.635,172.88
15998,370.4,166.60000000000005
16518,386.185,201.405
18056,340.285,193.83
18057,344.67,195.265
18198,272.59000000000003,172.72500000000005
18200,284.34,171.685
19023,370.995,166.02
19029,383.18,166.54
19098,333.895,158.3
19235,344.915,164.32
19346,1.0,135.01
19546,387.27,164.67000000000004
19546,473.13,162.86
19552,401.215,164.05
19833,83.635,191.955
19841,66.03,196.13
19855,344.205,203.315
19896,387.405,205.125
19946,326.11,214.79
19953,284.665,202.265
20163,387.905,188.295
20310,383.14,196.675
20311,448.12,195.05
20493,287.485,178.61
20674,344.05,184.84
20677,345.4,184.47
20680,346.43,186.52
20682,319.66,186.7
20701,284.965,185.12
20704,311.605,181.65
20709,337.275,184.08
20710,306.075,184.935
20738,354.44,192.645
20747,314.42999999999995,185.485
20753,336.28,184.35
20754,334.145,184.28
20775,358.035,187.775
20776,355.575,187.055
20877,345.645,192.335
21041,443.8250000000001,210.78
21079,422.125,201.53
21515,296.18,198.435
21542,301.985,197.585
21614,341.49,202.15
21659,370.895,203.535
21691,323.985,202.94
21692,323.11,202.53
21705,300.415,197.94
21769,368.37,202.66
21820,455.685,205.505
21825,457.525,205.305
21854,495.415,205.985
22022,323.55,167.85500000000005
22160,322.725,168.115
22168,309.9650000000001,169.08499999999995
22244,149.755,154.45
22258,161.945,159.985
22265,165.06,166.84
22267,164.38,167.315
22282,157.92000000000004,165.035
22456,256.225,168.135
22481,233.105,166.945
22482,223.675,165.475
22482,233.075,166.45999999999995
22483,223.35,165.5
22483,235.015,166.72
22519,235.645,177.54500000000004
22595,396.06,172.655
22993,340.195,168.64499999999995
23114,52.125,150.095
23140,323.805,174.315
23174,94.48,147.24
23389,131.115,171.60000000000005
23422,360.565,171.555
23425,361.225,171.465
23426,361.35,171.495
23430,361.125,171.635
23435,361.39,168.585
23575,397.43,172.12
23761,362.22,173.57
23821,335.195,170.54500000000004
23830,370.6,175.14
23839,448.045,180.355
23843,371.89,176.255
23876,327.695,170.89
23876,349.98,175.165
23877,324.69,170.35000000000005
23894,228.84,160.13
23904,318.97,174.04000000000005
23911,311.105,168.745
23912,312.11,168.82999999999996
23919,324.075,169.225
23920,322.585,168.97
24000,263.315,162.22
