frameID,groupID,x,y,w,h
18012,0,314.96,186.26,40.73,53.48
18013,0,311.06,186.85,41.46,54.03
18014,0,308.15,184.35,42.91,52.66
18015,1,336.75,185.25,40.78,52.26
18035,2,293.58,186.02,34.41,46.21
18037,3,321.14,191.85,20.62,34.93
18038,2,308.01,192.18,32.2,37.8
18039,2,305.83,187.21,29.25,41.95
18040,2,305.54,186.45,27.52,42.72
18041,2,303.68,186.0,27.1,41.61
18042,4,258.81,180.44,32.49,51.51
18043,5,280.5,182.85,32.57,42.86
18044,4,233.38,171.05,60.82,69.79
18045,4,235.4,175.0,60.23,66.02
18046,4,236.92,176.54,61.1,64.9
18047,4,244.12,177.16,60.42,63.79
18048,4,246.57,178.46,83.48,62.99
18049,5,36.56,107.4,316.67,250.43
18050,2,286.15,173.5,72.82,79.75
18050,6,52.18,95.56,189.73,268.45
18051,2,162.58,104.99,196.82,255.97
18052,2,194.78,105.6,177.37,258.06
18053,2,199.64,104.84,172.97,262.31
18054,2,202.03,104.97,155.7,259.91
18055,2,211.65,118.41,150.35,242.27
18056,2,220.5,115.94,144.51,245.14
18057,2,242.58,113.23,132.26,249.61
18058,2,252.11,116.16,123.19,243.3
18058,7,197.94,141.03,93.12,209.47
18059,7,198.15,143.34,177.7,206.09
18060,8,265.35,128.9,115.85,230.1
18060,7,207.66,140.61,82.88,209.51
18061,2,268.76,127.08,105.0,225.93
18062,9,213.28,129.1,164.22,221.0
18063,9,218.63,132.22,160.7,218.56
18064,9,222.62,132.94,158.38,219.32
18065,9,229.36,132.61,157.22,217.11
18066,9,236.66,131.25,153.73,217.86
18067,7,254.95,144.97,75.84,186.31
18067,10,1.0,94.87,409.66,258.5
18068,6,258.65,137.25,161.01,207.93
18069,7,258.61,140.4,85.23,183.51
18069,11,335.9,137.91,87.84,208.78
18070,7,257.83,139.85,87.21,183.0
18070,11,340.0,138.65,87.63,211.33
18071,7,252.92,139.88,95.6,182.64
18071,11,346.5,140.74,81.17,197.02
18072,7,258.61,139.2,76.44,170.22
18073,12,270.22,161.55,96.4,142.91
18074,12,266.8,157.77,97.07,144.7
18074,13,185.12,153.32,70.58,144.54
18075,7,183.44,151.66,143.96,148.9
18076,7,229.16,165.25,100.04,120.88
18081,14,296.22,174.66,36.52,59.7
18085,7,300.05,186.09,28.77,46.89
18086,7,308.88,187.64,27.32,47.45
18087,7,312.8,187.78,31.97,46.85
18088,7,318.42,187.37,29.81,47.5
18089,15,310.24,187.39,37.45,48.34
18090,15,309.68,188.26,41.44,46.72
18091,16,298.59,188.56,39.48,52.24
18092,16,298.09,189.11,18.89,24.78
18093,16,298.68,189.3,18.46,24.66
18094,16,280.0,181.19,36.76,56.65
18095,17,311.73,187.4,39.52,52.24
18096,17,314.99,187.34,37.38,51.9
18097,17,319.57,188.16,37.02,50.01
18098,17,323.97,188.03,36.54,51.57
18099,17,326.0,187.08,37.5,52.91
18100,17,328.31,187.49,36.21,52.39
18101,17,331.04,186.62,40.69,56.74
18102,17,342.09,188.9,32.32,56.56
18103,17,342.5,189.76,33.03,56.81
18104,17,342.58,187.6,34.28,57.41
18105,17,342.85,186.38,35.08,58.37
18106,17,344.74,185.35,33.83,59.56
18107,17,346.84,188.41,30.7,61.97
18108,17,348.05,190.23,29.05,61.64
18109,17,349.19,188.47,34.37,63.36
18110,18,363.5,180.38,36.89,77.82
18111,18,363.55,181.4,37.36,77.88
18112,18,285.91,169.71,114.21,94.29
18113,19,257.13,170.88,61.49,103.82
18113,18,360.89,182.92,37.71,78.05
18114,18,282.84,170.33,114.39,93.1
18115,19,254.04,169.82,62.11,105.04
