frameID,groupID,x,y,w,h
18003,0,315.49,180.82,53.3,64.43
18004,0,319.47,184.43,52.1,59.29
18005,0,324.32,182.8,51.36,60.9
18006,0,327.78,183.62,48.91,57.2
18007,0,327.4,182.15,47.27,56.2
18008,0,337.11,181.74,39.12,57.76
18009,1,315.8,181.75,40.08,55.0
18010,1,316.26,182.29,40.23,55.11
18011,1,316.24,184.36,40.08,54.55
18012,1,314.96,186.26,40.73,53.48
18013,1,311.06,186.85,41.46,54.03
18014,1,308.15,184.35,42.91,52.66
18015,1,311.04,183.37,42.55,54.39
18016,1,313.24,184.15,44.33,55.83
18017,1,313.81,183.72,43.86,54.97
18018,1,314.77,184.15,42.23,53.32
18019,1,318.49,184.33,41.71,53.15
18020,1,316.9,184.9,41.81,52.91
18021,1,319.6,187.02,38.22,50.61
18022,1,319.39,186.19,37.35,50.46
18023,1,319.46,186.49,37.76,49.85
18024,2,294.99,183.5,35.87,48.81
18025,2,294.85,182.7,36.46,49.12
18026,2,295.42,184.81,38.13,48.58
18027,2,291.3,182.97,38.94,49.61
18028,2,289.96,183.17,39.04,50.25
18029,2,289.96,184.08,38.92,49.28
18030,2,288.33,186.34,37.42,47.17
18031,2,286.18,184.7,37.0,45.94
18032,2,287.36,184.78,35.85,44.27
18033,2,289.22,185.58,34.64,44.02
18034,2,294.17,185.83,33.83,46.42
18035,2,293.58,186.02,34.41,46.21
18036,3,333.33,188.59,27.16,42.14
18037,1,321.14,188.48,35.69,42.93
18038,0,308.01,190.26,49.04,42.18
18039,0,305.83,187.21,49.52,42.94
18040,1,322.85,187.91,31.09,39.14
18041,1,320.78,187.76,32.73,38.51
18042,4,279.0,186.74,34.4,39.4
18043,4,259.01,178.48,54.06,47.23
18044,4,258.59,179.51,35.61,44.49
18045,4,259.58,180.34,36.05,46.3
18046,4,261.21,181.36,36.81,46.68
18047,4,269.21,182.46,35.33,42.4
18048,4,271.31,181.58,58.74,41.33
18049,0,297.36,180.94,55.87,45.32
18049,5,36.56,76.28,194.2,284.13
18050,0,321.02,191.42,20.93,32.6
18050,5,52.18,95.56,189.73,268.45
18051,2,322.52,190.69,32.53,33.12
18051,5,60.28,104.99,233.96,255.97
18052,2,330.64,189.48,41.51,36.68
18052,6,135.5,105.6,190.99,258.06
18053,2,332.31,189.65,40.3,37.11
18053,7,292.29,179.28,37.33,57.27
18053,6,133.0,104.84,198.74,262.31
18054,2,332.34,189.95,25.39,33.58
18054,6,136.33,104.97,195.04,259.91
18055,2,320.34,189.44,41.66,35.72
18055,6,146.25,118.41,184.97,242.27
18056,2,321.26,191.32,43.75,33.91
18056,6,158.09,115.94,182.31,245.14
18057,2,346.22,193.07,28.62,31.19
18057,6,187.97,113.23,175.7,249.61
18058,6,206.32,116.16,162.7,243.3
18059,6,212.64,117.1,160.66,241.21
18060,8,343.25,182.74,37.95,49.57
18060,6,207.66,128.9,166.01,230.1
18061,6,207.65,127.08,166.11,225.93
18062,6,32.05,115.1,345.45,238.51
18063,6,218.63,132.22,160.7,218.56
18064,6,222.62,132.94,158.38,219.32
18065,6,229.36,132.61,157.22,217.11
18066,6,236.66,131.25,153.73,217.86
18067,6,256.91,134.54,153.75,209.69
18068,6,268.47,137.25,151.19,207.93
18071,6,281.49,140.74,146.18,197.02
18073,9,270.22,161.55,96.4,142.91
18074,9,185.12,153.32,178.75,149.15
18075,10,230.96,166.0,62.27,88.42
18075,9,183.44,151.66,189.43,148.9
18076,10,229.16,167.77,67.57,83.61
