frameID,groupID,x,y,w,h
18002,0,311.89,182.72,52.04,63.58
18003,0,315.49,180.82,53.3,64.43
18004,0,319.47,184.43,52.1,59.29
18005,0,324.32,182.8,51.36,60.9
18006,0,327.78,183.62,48.91,57.2
18007,0,327.4,182.15,47.27,56.2
18008,0,337.11,181.74,39.12,57.76
18009,1,315.8,181.75,40.08,55.0
18010,1,316.26,182.29,40.23,55.11
18011,1,316.24,184.36,40.08,54.55
18012,1,314.96,186.26,40.73,53.48
18013,1,311.06,186.85,41.46,54.03
18014,1,308.15,184.35,42.91,52.66
18015,2,336.75,185.25,40.78,52.26
18016,1,313.24,184.15,44.33,55.83
18017,1,313.81,183.72,43.86,54.97
18018,1,314.77,184.15,42.23,53.32
18019,1,318.49,184.33,41.71,53.15
18020,1,316.9,184.9,41.81,52.91
18021,1,319.6,187.02,38.22,50.61
18022,1,319.39,186.19,37.35,50.46
18023,1,319.46,186.49,37.76,49.85
18024,3,294.99,183.5,35.87,48.81
18025,3,294.85,182.7,36.46,49.12
18026,3,295.42,184.81,38.13,48.58
18027,3,291.3,182.97,38.94,49.61
18028,3,289.96,183.17,39.04,50.25
18029,3,289.96,184.08,38.92,49.28
18030,3,288.33,186.34,37.42,47.17
18031,3,286.18,184.7,37.0,45.94
18032,3,287.36,184.78,35.85,44.27
18033,3,289.22,185.58,34.64,44.02
18034,3,294.17,185.83,33.83,46.42
18035,3,293.58,186.02,34.41,46.21
18036,4,333.33,188.59,27.16,42.14
18037,5,321.14,191.85,20.62,34.93
18038,5,322.48,194.13,17.73,35.85
18039,5,323.41,191.74,11.67,34.71
18040,6,305.54,186.45,27.52,42.72
18041,6,303.68,186.0,27.1,41.61
18042,7,258.81,180.44,32.49,51.51
18043,8,280.5,182.85,32.57,42.86
18044,7,258.59,179.51,35.61,44.49
18045,9,235.4,175.0,37.75,66.02
18046,9,236.92,176.54,37.56,64.9
18047,7,269.21,182.46,35.33,42.4
18048,8,295.19,181.58,34.86,41.33
18049,0,320.95,187.56,32.28,38.7
18050,10,52.18,95.56,189.73,268.45
18051,1,345.23,187.06,14.17,41.58
18052,11,347.7,189.48,24.45,36.68
18053,11,347.4,189.65,25.21,37.11
18054,3,332.34,189.95,25.39,33.58
18055,3,336.18,191.19,25.82,33.18
18056,3,341.1,193.32,23.91,31.0
18057,11,357.09,193.07,17.75,31.19
18058,12,197.94,141.03,93.12,209.47
18059,13,357.3,186.38,18.55,43.83
18060,12,207.66,140.61,82.88,209.51
18061,14,268.76,127.08,105.0,225.93
18062,15,213.28,129.1,164.22,221.0
18063,15,218.63,132.22,160.7,218.56
18064,15,222.62,132.94,158.38,219.32
18065,15,229.36,132.61,157.22,217.11
18066,15,236.66,131.25,153.73,217.86
18067,16,1.0,94.87,409.66,258.5
18068,12,258.65,143.36,80.07,182.1
18069,17,335.9,137.91,87.84,208.78
18070,17,340.0,138.65,87.63,211.33
18071,17,346.5,140.74,81.17,197.02
18072,12,258.61,139.2,76.44,170.22
18073,18,270.22,161.55,96.4,142.91
18074,18,266.8,157.77,97.07,144.7
18075,19,183.44,151.66,74.25,148.9
18076,20,271.84,167.77,24.89,83.61
18077,20,259.85,174.68,33.81,61.23
18078,21,258.99,174.8,61.24,62.42
18079,21,263.64,174.5,60.78,58.15
18080,21,267.32,174.7,62.35,55.09
18081,22,296.22,174.66,36.52,59.7
18082,23,299.51,182.18,69.7,58.22
18083,23,301.11,184.62,70.07,56.16
18084,23,301.04,185.23,72.28,58.37
18085,12,300.05,186.09,28.77,46.89
18086,12,308.88,187.64,27.32,47.45
18087,24,312.8,188.7,16.0,22.21
18088,24,318.42,189.67,9.79,19.29
18089,25,310.24,188.59,17.12,23.44
18090,25,309.68,189.4,16.11,23.27
18091,26,298.59,188.56,18.42,25.61
18092,26,298.09,189.11,18.89,24.78
18093,26,298.68,189.3,18.46,24.66
18094,26,298.5,189.61,18.26,24.21
18095,27,311.73,187.4,39.52,52.24
18096,27,314.99,187.34,37.38,51.9
18097,27,319.57,188.16,37.02,50.01
18098,27,323.97,188.03,36.54,51.57
18099,27,326.0,187.08,37.5,52.91
18100,27,328.31,187.49,36.21,52.39
18101,28,341.17,186.62,30.56,56.74
18102,28,342.09,188.9,32.32,56.56
18103,28,342.5,189.76,33.03,56.81
18104,28,342.58,187.6,34.28,57.41
18105,28,342.85,186.38,35.08,58.37
18106,28,344.74,185.35,33.83,59.56
18107,28,346.84,188.41,30.7,61.97
18108,28,348.05,190.23,29.05,61.64
18109,28,349.19,188.47,34.37,63.36
18110,29,363.5,180.38,36.89,77.82
18111,29,363.55,181.4,37.36,77.88
18112,29,363.49,184.22,36.63,76.08
18113,30,257.13,170.88,61.49,103.82
18114,28,360.04,185.61,23.56,72.11
18115,30,254.04,169.82,62.11,105.04
18116,31,179.11,154.29,80.05,141.75
18117,31,175.95,152.95,83.84,144.12
18118,31,174.15,153.24,86.46,144.78
18119,31,172.26,152.67,88.2,148.92
18120,31,170.61,152.47,88.09,150.53
18121,32,202.88,146.09,163.2,150.29
18122,32,198.52,143.95,168.53,154.81
18123,32,195.35,143.81,173.17,155.69
18124,33,343.94,177.42,37.02,96.25
18125,34,320.76,170.89,49.72,111.01
18126,35,290.53,170.03,61.12,113.54
18127,36,243.41,155.89,84.78,170.82
18128,37,359.81,187.24,18.24,28.96
18129,37,359.6,189.19,18.79,31.42
18130,36,222.32,146.99,110.38,208.63
18131,37,358.43,190.48,14.67,31.79
18132,27,327.65,187.21,43.21,37.13
18133,37,350.75,185.81,19.3,33.92
18134,38,310.21,180.69,24.59,42.98
18135,38,309.8,182.71,25.83,44.25
18136,39,222.53,150.02,351.89,205.66
18137,40,320.02,181.17,27.96,60.37
18138,41,311.69,124.16,150.53,236.55
18139,42,327.52,131.25,175.67,224.81
18140,42,320.7,134.44,168.65,220.12
18141,42,310.83,130.19,169.85,227.33
18142,43,277.47,173.27,47.69,89.54
18143,43,277.32,172.16,50.58,93.09
18144,42,325.39,132.99,161.97,217.93
18145,43,278.01,173.76,48.49,107.61
18146,44,377.15,146.94,77.57,194.95
18147,44,374.06,148.18,69.04,192.79
18148,45,350.77,144.96,121.86,185.59
18149,45,341.94,144.83,115.23,177.02
18150,45,340.71,142.06,114.63,173.66
18151,45,341.66,141.31,114.19,171.55
18152,45,343.48,144.72,113.05,170.72
18153,45,336.02,150.18,116.03,166.81
18154,45,330.84,151.03,115.82,167.01
18155,45,333.63,155.87,111.26,153.11
18156,45,341.56,150.57,109.1,154.66
18157,46,360.73,152.62,57.97,143.62
