frame,u,v
18003,315.49,180.82
18003,348.55,184.13
18004,319.47,184.43
18004,352.1,184.99
18005,324.32,182.8
18005,356.08,184.85
18006,327.78,183.62
18006,357.92,184.79
18007,327.4,182.23
18007,355.77,182.15
18008,337.11,183.86
18008,357.67,181.74
18009,338.76,181.75
18010,339.18,182.29
18010,316.26,184.32
18011,339.0,184.36
18011,316.24,185.02
18012,339.01,187.35
18012,314.96,186.26
18013,335.69,188.14
18013,368.28,200.61
18013,311.06,186.85
18014,334.49,185.5
18014,367.23,194.88
18014,308.15,184.35
18015,336.75,185.25
18015,371.44,196.74
18015,311.04,183.37
18016,340.42,186.83
18016,373.74,197.59
18016,313.24,184.15
18017,340.88,186.95
18017,313.81,183.72
18018,340.54,186.76
18018,314.77,184.15
18019,343.86,187.42
18019,318.49,184.33
18020,342.24,187.74
18020,316.9,184.9
18021,341.81,189.35
18021,319.6,187.02
18022,340.64,188.74
18022,319.39,186.19
18023,341.34,189.07
18023,319.46,186.49
18024,317.0,185.8
18025,317.05,184.58
18025,297.22,182.52
18026,319.06,186.08
18026,298.02,185.0
18027,315.63,185.23
18027,293.29,182.88
18028,314.22,185.5
18028,291.74,183.12
18029,314.19,186.07
18029,291.61,184.09
18030,310.95,186.8
18030,289.81,186.44
18031,308.38,184.87
18031,287.45,184.72
18032,308.68,184.82
18032,288.58,184.8
18033,309.26,185.58
18033,290.38,186.11
18034,313.24,187.53
18034,295.31,185.85
18035,345.79,191.64
18035,313.32,187.8
18035,295.61,186.08
18036,346.08,188.59
18037,342.27,188.48
18037,321.14,193.46
18037,331.18,191.85
18038,342.62,190.26
18038,322.48,195.77
18038,308.94,192.22
18038,329.38,194.13
18039,341.17,188.58
18039,323.41,196.79
18039,306.5,187.2
18039,324.59,191.74
18040,340.82,187.91
18040,306.2,186.45
18040,322.85,191.42
18041,340.6,187.76
18041,304.26,186.0
18041,320.78,191.31
18042,300.94,186.74
18043,301.05,186.72
18043,259.01,178.48
18043,280.5,182.85
18044,258.59,179.51
18044,279.29,180.88
18045,259.58,180.34
18045,280.39,182.67
18045,17.66,44.49
18045,235.4,175.0
18046,261.21,181.36
18046,282.65,183.76
18046,19.75,26.4
18046,236.92,176.54
18047,269.21,182.54
18047,289.78,182.46
18047,24.48,29.01
18047,244.12,177.16
18048,316.79,181.58
18048,271.31,183.03
18048,295.19,181.85
18048,8.93,72.42
18048,246.57,178.46
18049,341.11,188.81
18049,321.25,187.57
18049,297.36,180.94
18049,36.56,107.4
18050,345.52,187.2
18050,321.24,191.43
18050,332.24,192.99
18050,52.18,122.33
18050,103.3,95.56
18051,345.91,187.06
18051,345.23,190.69
18051,322.85,192.02
18051,332.69,193.1
18051,60.28,136.22
18051,162.58,104.99
18052,347.7,190.84
18052,330.83,190.29
18052,307.13,179.99
18052,194.78,105.6
18053,347.4,189.65
18053,332.47,190.94
18053,309.66,179.28
18053,138.72,130.47
18053,292.29,183.96
18053,199.64,104.84
18054,347.11,189.95
18054,332.47,191.3
18054,309.97,192.46
18054,151.72,132.13
18054,294.48,185.9
18054,202.03,104.97
18055,351.63,191.19
18055,336.3,192.09
18055,320.34,189.44
18055,314.83,193.65
18055,162.94,138.59
18055,300.29,187.19
18055,211.65,118.41
18056,339.36,193.52
18056,355.26,193.32
18056,341.21,194.14
18056,321.26,191.32
18056,173.84,142.62
18056,220.5,115.94
18057,345.52,195.79
18057,357.09,193.29
18057,343.82,194.74
18057,320.58,191.24
18057,201.9,141.67
18057,242.58,113.23
18058,346.71,195.87
18058,364.66,193.04
18058,218.78,143.12
18058,252.11,116.16
18059,347.34,196.43
18059,361.85,188.75
18059,223.95,145.11
18059,258.66,117.1
18060,363.68,188.29
18060,218.22,142.19
18060,343.25,182.74
18060,265.35,128.9
18061,216.92,142.8
18061,350.59,182.85
18061,268.76,127.08
18062,221.45,143.88
18062,275.75,129.1
18063,225.75,146.89
18063,279.72,132.22
18063,18.3,111.92
18064,228.92,148.41
18064,282.02,132.94
18064,9.67,110.14
18065,234.99,145.57
18065,289.43,132.61
18065,1.31,109.95
18066,241.86,142.57
18066,293.9,131.25
18066,1.0,98.46
18067,261.48,145.58
18067,318.85,134.54
18067,1.0,94.87
18068,272.42,147.03
18068,330.4,137.25
18069,403.17,183.47
18069,278.09,146.15
18069,335.9,137.91
18069,257.29,139.48
18070,404.62,183.26
18070,280.51,147.47
18070,340.0,138.65
18070,256.65,139.44
18071,407.78,182.77
18071,284.29,148.89
18071,346.5,140.74
18071,252.1,139.79
18072,319.64,156.31
18072,280.76,163.81
18072,354.92,142.58
18072,250.78,139.09
18073,316.25,159.3
18073,272.08,163.31
18074,313.71,157.24
18074,268.48,161.26
18074,233.31,177.23
18075,323.56,159.97
18075,281.11,163.76
18075,235.17,168.73
18075,232.05,177.26
18076,277.25,182.77
18076,324.52,159.17
18076,285.7,165.69
18076,232.27,172.49
18077,275.09,182.35
18077,256.35,175.44
18077,250.75,183.19
18078,259.2,176.45
18078,255.01,184.75
18079,264.65,177.0
18079,306.13,174.5
18080,268.48,176.79
18080,312.27,174.7
18081,296.71,181.54
18081,272.11,178.37
18081,316.05,174.66
18082,299.86,182.2
18083,351.28,186.11
18083,301.41,184.64
18084,351.6,185.97
18084,301.3,185.24
18085,351.78,185.57
18085,310.42,186.1
18085,307.04,188.09
18086,317.51,187.65
18086,310.32,189.15
18087,326.33,187.79
18087,313.32,188.83
18087,390.76,187.49
18088,329.59,187.38
18088,321.32,190.01
18088,392.76,187.04
18089,328.78,187.4
18089,327.12,191.23
18089,396.18,186.94
18090,320.95,186.9
18090,332.86,188.28
18090,388.32,189.83
18090,309.68,189.4
18091,317.24,188.79
18091,389.29,190.38
18091,309.53,191.77
18092,318.33,189.31
18092,310.04,192.46
18092,298.09,189.11
18093,323.56,189.35
18093,309.58,192.54
18093,298.68,189.3
18094,280.0,181.19
18094,329.78,188.66
18094,309.46,193.28
18094,298.5,189.61
18095,280.1,179.75
18095,331.49,187.55
18095,309.17,187.99
18096,281.34,179.31
18096,332.73,187.46
18096,312.88,188.64
18097,285.02,178.15
18097,337.87,188.26
18097,317.13,190.36
18098,288.4,178.52
18098,341.4,188.11
18098,321.81,191.03
18099,290.06,179.37
18099,343.97,187.15
18099,324.12,191.7
18100,291.02,179.16
18100,345.21,187.55
18100,326.66,192.32
18101,296.9,179.14
18101,350.96,186.67
18101,341.27,196.02
18101,328.93,193.34
18102,299.39,179.35
18102,353.54,188.96
18102,342.18,196.11
18103,300.11,179.12
18103,354.55,189.8
18103,342.58,196.16
18104,300.29,179.01
18104,355.87,187.63
18104,342.65,195.99
18105,299.97,178.37
18105,356.67,186.41
18105,342.91,195.88
18106,299.3,177.15
18106,357.06,185.37
18106,344.79,191.28
18107,293.09,177.03
18107,355.61,188.44
18107,346.89,193.12
18108,289.95,176.31
18108,355.6,190.26
18108,348.1,194.28
18109,372.44,183.68
18109,287.58,173.75
18109,362.15,188.49
18109,355.02,191.19
18110,375.73,180.89
18110,287.99,170.13
18110,364.25,188.55
18110,361.96,191.17
18111,376.92,181.51
18111,287.59,169.99
18111,364.08,191.71
18112,377.15,183.86
18112,285.91,169.71
18112,364.75,192.63
18113,375.55,182.76
18113,285.29,170.88
18113,362.56,187.77
18113,362.41,191.04
18113,257.13,213.52
18114,374.63,183.09
18114,282.84,170.33
18114,363.79,185.73
18114,361.57,190.31
18114,255.95,216.49
18115,375.02,183.1
18115,282.37,169.82
18115,365.1,185.52
18115,362.88,190.18
18115,326.1,177.6
18115,254.04,215.31
18116,327.35,177.44
18117,331.18,176.75
18117,210.21,152.95
18117,175.95,225.65
18118,333.52,177.06
18118,211.11,153.24
18118,174.15,223.34
18119,335.2,177.32
18119,210.78,152.67
18119,172.26,223.73
18120,336.63,178.62
18120,208.99,152.47
18120,170.61,222.92
18121,338.75,178.62
18121,202.88,146.09
18122,338.84,178.49
18122,198.52,143.95
18123,339.17,177.07
18123,195.35,143.81
18124,372.66,186.42
18124,339.22,177.11
18124,189.64,143.85
18125,369.87,186.62
18125,325.46,172.72
18125,187.21,142.51
18125,117.11,231.89
18126,369.47,186.86
18126,290.53,196.24
18126,324.75,171.85
18126,110.73,232.44
18127,366.89,187.29
18127,298.11,193.12
18127,357.81,187.75
18128,368.82,187.35
18128,304.79,191.89
18128,360.65,188.19
18128,335.43,184.57
18128,234.67,151.9
18128,1.0,91.46
18129,368.38,189.31
18129,303.25,200.38
18129,360.02,193.5
18129,332.36,189.17
18129,230.79,149.76
18129,1.0,95.83
18130,368.1,190.26
18130,299.86,202.67
18130,358.92,194.7
18130,330.64,188.34
18130,225.42,147.71
18131,362.71,190.58
18131,293.91,200.25
18131,358.54,196.48
18131,328.22,187.32
18131,208.99,148.21
18131,503.97,35.51
18132,360.44,190.76
18132,290.56,203.16
18132,327.16,187.27
18132,197.09,146.37
18132,496.44,37.91
18133,358.73,185.86
18133,290.19,204.63
18133,351.01,190.6
18133,320.36,182.24
18133,196.17,145.89
18133,508.37,98.63
18134,358.42,184.8
18134,349.28,190.48
18134,318.87,180.93
18134,512.75,117.4
18135,356.39,190.59
18135,320.01,182.29
18135,513.86,133.14
18135,230.76,195.68
18135,369.15,75.22
18135,309.8,187.52
18136,355.14,191.02
18136,320.29,183.47
18136,501.96,150.02
18136,222.53,196.4
18136,347.78,101.81
18136,309.66,190.29
18137,318.69,182.93
18137,330.17,181.28
18137,493.63,150.86
18137,352.95,108.11
18138,311.08,181.56
18138,461.94,155.89
18138,344.1,124.16
18139,309.82,176.77
18139,289.04,180.24
18139,431.67,153.12
18139,327.52,131.25
18140,293.73,177.77
18140,308.56,175.87
18140,288.95,180.55
18140,420.53,155.85
18140,320.7,134.44
18141,280.82,180.11
18141,300.48,175.62
18141,308.81,186.79
18141,412.21,156.13
18141,310.83,130.19
18142,277.73,180.31
18142,296.54,173.3
18142,410.49,155.36
18142,308.74,127.83
18143,276.7,176.95
18143,296.79,172.16
18143,415.16,150.67
18143,318.32,131.13
18144,276.41,174.09
18144,297.95,172.54
18144,419.24,149.87
18144,325.39,132.99
18145,274.9,172.72
18145,289.64,174.34
18145,303.08,164.39
18145,402.99,142.77
18145,321.55,137.28
18146,286.79,173.82
18146,309.15,165.36
18146,377.36,184.45
18146,385.44,146.94
18147,392.58,185.69
18147,374.06,148.18
18147,437.64,157.54
18148,350.77,144.96
18148,410.38,160.52
18149,341.94,144.83
18149,402.71,163.9
18150,340.71,142.06
18150,402.36,162.71
18151,341.66,141.31
18151,403.22,162.65
18152,343.48,144.72
18152,403.07,162.57
18153,336.02,150.18
18153,395.78,161.37
18154,330.84,151.03
18154,393.87,166.11
18155,333.63,155.87
18155,392.97,161.35
18156,341.56,150.57
18156,399.14,159.85
18157,360.51,181.43
18157,364.84,152.62
18157,410.26,163.71
18158,317.62,180.23
18158,365.38,182.79
18158,353.3,155.4
18158,398.46,163.29
18159,323.55,179.65
18159,340.84,157.86
18159,486.31,149.16
18159,393.99,168.2
18160,332.27,186.39
18160,337.18,189.1
18160,347.44,162.07
18160,523.84,148.11
18160,401.55,173.98
18161,321.51,183.3
18161,341.2,191.28
18161,350.57,163.59
18161,520.01,138.02
18161,395.74,175.57
18162,312.55,180.16
18162,343.97,164.1
18162,522.76,126.04
18162,387.52,174.83
18163,302.42,179.26
18163,327.94,209.64
18163,338.51,163.2
18163,532.68,125.04
18163,383.6,176.5
18164,300.13,178.69
18164,275.41,177.07
18164,328.0,214.5
18164,326.04,165.39
18164,373.25,175.15
18165,273.44,174.81
18165,321.38,163.42
18165,371.12,172.62
18166,273.65,174.54
18166,320.85,163.25
18166,371.76,173.56
18167,305.96,192.31
18167,274.86,173.76
18167,323.7,164.26
18167,372.4,175.12
18168,311.76,194.91
18168,278.74,172.24
18168,330.35,164.59
18168,377.68,175.16
18169,315.25,197.44
18169,281.82,173.49
18169,336.36,164.74
18169,380.79,173.78
18170,318.08,204.7
18170,286.24,174.94
18170,323.96,181.95
18170,346.56,165.44
18170,386.63,175.48
18171,319.2,207.09
18171,274.08,177.61
18171,321.65,182.08
18171,337.59,165.98
18171,376.92,175.74
18172,267.33,178.9
18172,332.27,166.28
18172,371.54,175.22
18173,261.57,178.03
18173,328.52,167.09
18173,367.91,174.73
18173,292.35,202.16
18174,256.52,175.82
18174,324.34,167.23
18174,366.42,175.58
18174,289.24,205.84
18175,252.37,176.17
18175,320.88,164.91
18175,364.31,176.05
18175,286.12,194.42
18176,243.17,174.57
18176,314.11,162.53
18176,360.41,176.31
18176,275.21,187.6
18177,238.82,172.82
18177,312.19,159.05
18177,358.89,174.59
18177,267.94,181.4
18178,222.11,172.33
18178,302.77,161.67
18178,348.6,175.77
18178,251.87,181.68
18179,222.98,171.59
18179,316.11,165.7
18179,345.49,175.99
18179,255.16,179.17
18180,303.47,183.65
18180,226.83,172.19
18180,323.52,163.93
18180,257.39,176.95
18181,304.69,183.45
18181,228.97,172.81
18181,327.85,163.19
18181,260.91,177.81
18181,374.03,176.1
18182,306.02,183.64
18182,230.18,172.34
18182,330.94,162.5
18182,262.79,175.96
18182,375.66,175.3
18183,308.76,182.27
18183,232.21,172.18
18183,333.66,163.87
18183,270.41,176.71
18183,377.1,177.5
18184,310.37,182.19
18184,234.06,172.68
18184,336.32,165.81
18184,273.18,180.79
18184,380.12,177.56
18185,312.07,182.9
18185,235.42,173.09
18185,339.38,166.69
18185,274.65,181.53
18185,382.47,177.99
18186,314.51,184.31
18186,237.05,172.76
18186,342.91,167.75
18186,275.81,181.33
18186,385.73,178.48
18187,316.19,182.57
18187,238.95,171.67
18187,345.07,167.58
18187,278.38,177.19
18187,275.53,180.76
18187,391.7,177.84
18188,316.77,181.99
18188,240.12,170.67
18188,347.09,166.39
18188,275.27,176.41
18188,395.11,177.28
18189,317.1,181.9
18189,241.12,169.9
18189,348.56,166.88
18189,269.26,176.49
18189,285.45,177.66
18189,396.84,177.2
18189,276.5,201.29
18190,321.31,181.43
18190,241.75,168.05
18190,352.34,166.07
18190,287.02,177.27
18190,398.36,176.9
18190,276.57,200.99
18191,323.7,181.07
18191,242.59,166.8
18191,355.31,165.58
18191,287.45,177.03
18191,400.21,177.06
18191,276.47,180.4
18192,326.72,180.27
18192,245.07,166.83
18192,363.45,166.92
18192,288.57,176.37
18192,405.36,177.51
18192,280.04,190.76
18193,319.06,179.67
18193,240.17,169.54
18193,361.28,169.24
18193,273.33,177.74
18193,400.47,178.48
18193,274.26,194.01
18194,314.48,178.7
18194,233.52,169.52
18194,358.87,169.77
18194,269.99,177.91
18194,396.77,177.13
18194,273.81,192.87
18195,311.17,180.57
18195,230.25,171.87
18195,356.95,169.77
18195,275.2,177.08
18195,394.25,176.6
18196,303.87,182.4
18196,222.65,168.78
18196,350.82,168.96
18196,263.13,177.67
18196,274.33,176.75
18196,388.88,178.07
18197,311.27,179.31
18197,225.53,165.81
18197,355.76,165.7
18197,259.88,177.78
18197,274.61,173.05
18197,396.14,178.16
18198,316.52,177.92
18198,231.03,161.41
18198,362.28,164.33
18198,271.29,173.09
18198,273.89,172.36
18198,403.71,177.79
18199,324.91,179.23
18199,238.23,159.53
18199,372.48,165.16
18199,269.62,172.68
18199,284.43,171.02
18199,413.57,175.6
18200,329.76,178.38
18200,242.11,162.25
18200,376.86,163.56
18200,283.9,173.1
18200,284.78,170.27
18200,419.68,175.71
18201,332.52,176.64
