frame,track,u,v
0,0,None,None
0,1,None,None
0,2,None,None
0,3,274.41,197.675
0,4,None,None
1,0,None,None
1,1,None,None
1,2,None,None
1,3,None,None
1,4,None,None
2,0,None,None
2,1,None,None
2,2,None,None
2,3,None,None
2,4,None,None
3,0,None,None
3,1,None,None
3,2,None,None
3,3,None,None
3,4,None,None
4,0,None,None
4,1,None,None
4,2,None,None
4,3,None,None
4,4,None,None
5,0,None,None
5,1,None,None
5,2,None,None
5,3,None,None
5,4,None,None
6,0,None,None
6,1,165.345,206.525
6,2,None,None
6,3,None,None
6,4,None,None
7,0,None,None
7,1,165.575,205.85
7,2,None,None
7,3,None,None
7,4,None,None
8,0,None,None
8,1,None,None
8,2,None,None
8,3,None,None
8,4,349.435,208.995
9,0,None,None
9,1,None,None
9,2,None,None
9,3,None,None
9,4,264.65,220.42
10,0,None,None
10,1,None,None
10,2,None,None
10,3,None,None
10,4,276.875,219.05
11,0,None,None
11,1,None,None
11,2,347.44,208.38
11,3,None,None
11,4,None,None
12,0,None,None
12,1,None,None
12,2,347.585,208.8
12,3,None,None
12,4,None,None
13,0,None,None
13,1,None,None
13,2,None,None
13,3,None,None
13,4,347.6,209.57
14,0,298.245,240.9
14,1,None,None
14,2,None,None
14,3,None,None
14,4,None,None
15,0,296.285,242.41
15,1,None,None
15,2,None,None
15,3,None,None
15,4,None,None
16,0,None,None
16,1,None,None
16,2,None,None
16,3,306.995,247.985
16,4,None,None
17,0,None,None
17,1,None,None
17,2,None,None
17,3,356.345,247.985
17,4,None,None
18,0,271.30999999999995,205.335
18,1,None,None
18,2,None,None
18,3,None,None
18,4,None,None
