frame,track,u,v
0,0,None,None
0,1,163.47,156.31
0,2,None,None
0,3,None,None
0,4,None,None
0,5,None,None
0,6,None,None
0,7,None,None
0,8,None,None
0,9,None,None
1,0,None,None
1,1,None,None
1,2,None,None
1,3,None,None
1,4,None,None
1,5,None,None
1,6,None,None
1,7,None,None
1,8,None,None
1,9,None,None
2,0,None,None
2,1,None,None
2,2,None,None
2,3,None,None
2,4,None,None
2,5,None,None
2,6,None,None
2,7,None,None
2,8,None,None
2,9,None,None
3,0,438.06,164.28
3,1,None,None
3,2,None,None
3,3,None,None
3,4,None,None
3,5,None,None
3,6,None,None
3,7,None,None
3,8,None,None
3,9,None,None
4,0,436.16,163.98
4,1,None,None
4,2,None,None
4,3,None,None
4,4,None,None
4,5,None,None
4,6,None,None
4,7,None,None
4,8,None,None
4,9,None,None
5,0,None,None
5,1,None,None
5,2,430.41,162.98
5,3,None,None
5,4,None,None
5,5,None,None
5,6,None,None
5,7,None,None
5,8,None,None
5,9,None,None
6,0,None,None
6,1,None,None
6,2,426.67,162.27
6,3,None,None
6,4,None,None
6,5,None,None
6,6,None,None
6,7,None,None
6,8,None,None
6,9,None,None
7,0,423.2,163.92
7,1,None,None
7,2,None,None
7,3,None,None
7,4,None,None
7,5,None,None
7,6,None,None
7,7,None,None
7,8,None,None
7,9,None,None
8,0,417.47,164.45
8,1,None,None
8,2,None,None
8,3,None,None
8,4,None,None
8,5,None,None
8,6,None,None
8,7,None,None
8,8,None,None
8,9,None,None
9,0,None,None
9,1,None,None
9,2,407.44,163.62
9,3,None,None
9,4,None,None
9,5,None,None
9,6,None,None
9,7,None,None
9,8,None,None
9,9,None,None
10,0,401.27,163.56
10,1,None,None
10,2,None,None
10,3,None,None
10,4,None,None
10,5,None,None
10,6,None,None
10,7,None,None
10,8,None,None
10,9,None,None
11,0,395.39,163.99
11,1,None,None
11,2,None,None
11,3,None,None
11,4,None,None
11,5,None,None
11,6,None,None
11,7,None,None
11,8,None,None
11,9,None,None
12,0,None,None
12,1,358.56,165.25
12,2,None,None
12,3,None,None
12,4,None,None
12,5,None,None
12,6,None,None
12,7,None,None
12,8,None,None
12,9,None,None
13,0,406.9,164.36
13,1,None,None
13,2,None,None
13,3,None,None
13,4,None,None
13,5,None,None
13,6,None,None
13,7,None,None
13,8,None,None
13,9,None,None
14,0,None,None
14,1,None,None
14,2,None,None
14,3,None,None
14,4,None,None
14,5,None,None
14,6,None,None
14,7,None,None
14,8,None,None
14,9,None,None
15,0,None,None
15,1,None,None
15,2,None,None
15,3,None,None
15,4,None,None
15,5,None,None
15,6,None,None
15,7,None,None
15,8,None,None
15,9,None,None
16,0,None,None
16,1,401.66,162.99
16,2,None,None
16,3,None,None
16,4,None,None
16,5,None,None
16,6,None,None
16,7,None,None
16,8,None,None
16,9,None,None
17,0,None,None
17,1,None,None
17,2,370.5,161.64
17,3,None,None
17,4,None,None
17,5,None,None
17,6,None,None
17,7,None,None
17,8,476.89,172.16
17,9,None,None
18,0,None,None
18,1,None,None
18,2,None,None
18,3,None,None
18,4,None,None
18,5,None,None
18,6,None,None
18,7,357.55,162.58
18,8,476.72,171.42
18,9,None,None
19,0,None,None
19,1,None,None
19,2,None,None
19,3,None,None
19,4,None,None
19,5,None,None
19,6,None,None
19,7,358.32,161.34
19,8,473.39,168.75
