frame,track,u,v
0,0,None,None
1,0,None,None
2,0,None,None
3,0,None,None
4,0,None,None
5,0,None,None
6,0,None,None
7,0,None,None
8,0,None,None
9,0,None,None
10,0,None,None
11,0,None,None
12,0,None,None
13,0,None,None
14,0,None,None
15,0,None,None
16,0,None,None
17,0,None,None
18,0,None,None
19,0,None,None
20,0,None,None
21,0,None,None
22,0,None,None
23,0,None,None
24,0,None,None
25,0,None,None
26,0,None,None
27,0,None,None
28,0,None,None
29,0,None,None
30,0,None,None
31,0,None,None
32,0,None,None
33,0,None,None
34,0,None,None
35,0,None,None
36,0,None,None
37,0,None,None
38,0,None,None
39,0,None,None
40,0,None,None
41,0,None,None
42,0,None,None
43,0,None,None
44,0,None,None
45,0,None,None
46,0,None,None
47,0,82.17,170.7
48,0,82.39,170.44
