frame,track,u,v
0,0,None,None
0,1,None,None
0,2,None,None
0,3,143.23,175.63
0,4,None,None
0,5,None,None
0,6,None,None
0,7,None,None
0,8,None,None
0,9,None,None
1,0,None,None
1,1,None,None
1,2,None,None
1,3,121.59,182.82
1,4,None,None
1,5,None,None
1,6,None,None
1,7,None,None
1,8,None,None
1,9,None,None
2,0,None,None
2,1,None,None
2,2,None,None
2,3,52.49,177.11
2,4,None,None
2,5,None,None
2,6,None,None
2,7,None,None
2,8,None,None
2,9,None,None
3,0,None,None
3,1,None,None
3,2,203.65,181.05
3,3,None,None
3,4,None,None
3,5,None,None
3,6,None,None
3,7,None,None
3,8,None,None
3,9,None,None
4,0,None,None
4,1,49.48,178.6
4,2,204.81,182.15
4,3,None,None
4,4,None,None
4,5,None,None
4,6,None,None
4,7,None,None
4,8,None,None
4,9,None,None
5,0,None,None
5,1,46.58,178.57
5,2,None,None
5,3,None,None
5,4,None,None
5,5,None,None
5,6,None,None
5,7,None,None
5,8,None,None
5,9,None,None
6,0,None,None
6,1,237.87,182.64
6,2,None,None
6,3,None,None
6,4,None,None
6,5,54.13,178.09
6,6,None,None
6,7,None,None
6,8,None,None
6,9,None,None
7,0,None,None
7,1,245.56,184.49
7,2,None,None
7,3,None,None
7,4,None,None
7,5,54.51,179.49
7,6,None,None
7,7,None,None
7,8,None,None
7,9,None,None
8,0,None,None
8,1,249.38,183.16
8,2,None,None
8,3,None,None
8,4,None,None
8,5,None,None
8,6,None,None
8,7,None,None
8,8,None,None
8,9,None,None
9,0,None,None
9,1,None,None
9,2,None,None
9,3,None,None
9,4,None,None
9,5,None,None
9,6,None,None
9,7,None,None
9,8,None,None
9,9,None,None
10,0,None,None
10,1,None,None
10,2,41.34,178.9
10,3,None,None
10,4,None,None
10,5,None,None
10,6,None,None
10,7,None,None
10,8,None,None
10,9,None,None
11,0,298.79,168.5
11,1,None,None
11,2,None,None
11,3,None,None
11,4,None,None
11,5,None,None
11,6,None,None
11,7,None,None
11,8,None,None
11,9,None,None
12,0,298.07,168.49
12,1,None,None
12,2,None,None
12,3,None,None
12,4,None,None
12,5,None,None
12,6,None,None
12,7,None,None
12,8,None,None
12,9,None,None
13,0,124.19,178.32
13,1,None,None
13,2,None,None
13,3,None,None
13,4,None,None
13,5,290.6,166.13
13,6,None,None
13,7,None,None
13,8,None,None
13,9,None,None
14,0,None,None
14,1,None,None
14,2,None,None
14,3,124.89,187.72
14,4,None,None
14,5,279.56,165.02
14,6,None,None
14,7,None,None
14,8,None,None
14,9,None,None
15,0,None,None
15,1,100.43,187.87
15,2,265.13,169.04
15,3,None,None
15,4,None,None
15,5,None,None
15,6,None,None
15,7,None,None
15,8,None,None
15,9,None,None
16,0,None,None
16,1,None,None
16,2,None,None
16,3,256.47,169.92
16,4,None,None
16,5,None,None
16,6,None,None
16,7,None,None
16,8,None,None
16,9,None,None
17,0,None,None
17,1,None,None
17,2,None,None
17,3,None,None
17,4,309.79,196.4
17,5,None,None
17,6,None,None
17,7,None,None
17,8,None,None
17,9,None,None
18,0,None,None
18,1,None,None
18,2,None,None
18,3,None,None
18,4,309.2,196.02
18,5,None,None
18,6,173.28,159.21
18,7,None,None
18,8,None,None
18,9,None,None
19,0,None,None
19,1,None,None
19,2,None,None
19,3,None,None
19,4,None,None
19,5,None,None
19,6,170.25,158.01
19,7,None,None
19,8,None,None
19,9,None,None
20,0,None,None
20,1,None,None
20,2,None,None
20,3,None,None
20,4,None,None
20,5,None,None
20,6,219.07,163.65
20,7,None,None
20,8,None,None
20,9,None,None
21,0,None,None
21,1,None,None
21,2,None,None
21,3,None,None
21,4,1.0,172.73
21,5,214.73,160.87
21,6,None,None
21,7,None,None
21,8,None,None
21,9,None,None
22,0,None,None
22,1,None,None
22,2,None,None
22,3,None,None
22,4,None,None
22,5,134.78,143.32
22,6,None,None
22,7,None,None
22,8,None,None
22,9,None,None
23,0,None,None
23,1,None,None
23,2,None,None
23,3,None,None
23,4,None,None
23,5,None,None
23,6,406.56,191.96
23,7,None,None
23,8,None,None
23,9,None,None
24,0,None,None
24,1,None,None
24,2,None,None
24,3,None,None
24,4,None,None
24,5,None,None
24,6,402.31,187.39
24,7,None,None
24,8,None,None
24,9,None,None
25,0,None,None
25,1,None,None
25,2,None,None
25,3,None,None
25,4,None,None
25,5,None,None
25,6,None,None
25,7,208.75,180.9
25,8,None,None
25,9,None,None
26,0,None,None
26,1,None,None
26,2,None,None
26,3,None,None
26,4,None,None
26,5,None,None
26,6,None,None
26,7,211.79,181.02
26,8,None,None
26,9,None,None
27,0,None,None
27,1,None,None
27,2,None,None
27,3,None,None
27,4,None,None
27,5,None,None
27,6,None,None
27,7,110.87,169.69
27,8,None,None
27,9,None,None
28,0,None,None
28,1,None,None
28,2,None,None
28,3,None,None
28,4,None,None
28,5,None,None
28,6,None,None
28,7,111.96,184.74
28,8,291.9,187.18
28,9,None,None
29,0,None,None
29,1,None,None
29,2,None,None
29,3,None,None
29,4,None,None
29,5,None,None
29,6,None,None
29,7,None,None
29,8,290.29,186.61
29,9,127.32,185.04
30,0,None,None
30,1,None,None
30,2,None,None
30,3,None,None
30,4,None,None
30,5,None,None
30,6,None,None
30,7,None,None
30,8,None,None
30,9,131.09,186.51
