frameID,groupID,x,y,w,h
16000,0,323.6,159.06,64.5,36.6
16000,1,66.74,140.35,55.14,42.27
16006,2,6.53,134.13,144.3,213.11
16007,2,6.17,136.82,147.67,209.57
16008,2,5.5,139.31,151.44,213.73
16009,2,4.75,142.3,151.97,204.55
16010,2,3.99,144.39,152.98,203.19
16011,2,3.83,143.23,153.64,202.95
16012,2,2.4,142.69,154.75,203.84
16013,2,1.11,142.76,153.29,203.42
16014,2,0.46,142.12,145.2,201.88
16015,2,0.33,144.04,141.77,200.22
16016,2,0.76,145.66,145.16,198.85
16017,2,1.73,147.51,145.27,193.66
16018,2,3.25,148.82,137.47,192.67
16019,2,5.02,149.9,140.52,189.92
16020,2,5.2,149.89,141.56,186.77
16021,2,5.02,148.17,141.46,187.53
16022,2,3.94,145.65,135.62,187.26
16023,2,0.63,145.39,133.02,185.58
16024,2,1.0,146.42,126.2,184.65
16025,2,1.0,149.07,119.45,179.94
16026,2,0.1,150.21,118.5,176.11
16027,2,1.92,151.95,118.3,172.67
16028,2,2.43,151.09,119.31,172.77
16029,2,1.0,152.21,118.95,167.27
16030,2,1.0,152.43,119.28,165.22
16031,2,1.0,151.63,119.48,167.73
16032,2,1.0,152.0,119.47,167.72
16033,2,1.0,152.5,116.27,170.48
16034,2,1.0,151.82,115.37,173.45
16035,2,1.0,150.89,108.88,176.85
16036,2,1.0,152.28,102.82,177.89
16074,2,8.35,170.12,109.25,123.5
16075,2,9.23,169.12,111.4,127.05
16076,2,10.26,171.63,114.54,122.74
16078,2,82.65,184.96,61.65,103.22
16079,2,82.72,184.3,62.19,103.17
16080,2,82.0,182.22,63.04,103.13
16081,2,78.08,182.23,65.18,100.44
16082,2,79.96,181.84,62.65,100.64
16083,2,80.41,181.57,60.81,101.16
16084,2,74.06,183.4,64.36,101.82
16085,2,1.0,170.4,130.27,120.07
16086,2,78.21,190.41,51.16,69.29
16087,2,29.79,175.55,76.57,115.2
16088,2,27.22,177.31,71.91,112.41
16089,2,18.88,177.58,73.38,111.88
16090,2,12.3,174.96,78.99,115.31
16091,2,8.53,173.84,102.33,115.74
16092,2,3.72,175.47,104.4,113.52
16093,2,4.93,174.19,84.18,115.21
16094,2,2.24,175.57,88.56,113.46
16095,2,6.84,179.84,115.12,105.11
16096,2,8.79,181.78,93.11,100.72
16097,2,12.53,182.96,92.64,82.36
16098,2,13.44,183.82,119.55,78.62
16099,2,86.6,184.55,48.33,60.11
16102,2,103.71,183.57,40.74,57.71
16103,2,105.9,183.03,40.96,56.68
16114,3,6.51,127.55,137.9,226.18
16115,3,0.73,119.68,145.92,242.8
16116,3,1.0,119.3,150.05,243.75
