frameID,groupID,x,y,w,h
40,0,168.47,164.97,81.46,91.48
41,0,168.47,164.97,81.46,91.48
42,0,168.47,164.97,81.46,91.48
43,0,168.47,164.97,81.46,91.48
45,1,212.26,198.23,57.28,31.44
45,2,308.03,201.91,22.34,16.21
46,1,212.26,198.23,57.28,31.44
46,2,308.03,201.91,22.34,16.21
47,1,212.26,198.23,57.28,31.44
47,2,308.03,201.91,22.34,16.21
48,1,212.26,198.23,118.11,31.44
49,1,234.12,198.23,96.25,31.44
50,1,234.12,198.23,21.26,31.44
51,1,234.12,198.23,35.42,31.44
52,3,227.31,198.23,42.23,31.44
53,3,227.31,198.23,42.23,31.44
54,3,227.31,198.23,42.23,31.44
55,3,227.31,198.23,42.23,31.44
56,3,227.31,198.23,63.46,31.44
57,1,234.12,198.23,56.65,31.44
58,1,234.12,198.23,56.65,31.44
59,1,212.26,198.23,106.73,31.44
60,1,212.26,198.23,106.73,31.44
61,4,208.04,191.04,37.9,40.16
62,1,208.04,191.04,47.34,40.16
63,1,208.04,191.04,47.34,40.16
64,1,208.04,191.04,37.9,40.16
65,1,208.04,191.04,37.9,40.16
66,1,208.04,191.04,37.9,40.16
67,1,208.04,191.04,37.9,40.16
68,1,208.04,191.04,37.9,40.16
69,0,223.89,177.3,106.48,77.95
69,1,208.04,191.04,37.9,40.16
70,0,223.89,177.3,106.48,77.95
70,1,234.12,198.23,35.42,31.44
71,1,208.04,191.04,82.73,40.16
72,1,168.47,164.97,150.52,91.48
73,1,168.47,164.97,150.52,91.48
74,1,168.47,164.97,150.52,91.48
75,5,168.47,164.97,139.48,91.48
76,5,168.47,164.97,161.9,91.48
77,5,168.47,164.97,161.9,91.48
78,5,168.47,164.97,161.9,91.48
79,5,168.47,164.97,161.9,91.48
80,5,168.47,164.97,161.9,91.48
80,6,346.58,200.8,21.48,18.66
81,5,168.47,164.97,161.9,91.48
82,5,168.47,164.97,161.9,91.48
83,5,168.47,164.97,161.9,91.48
85,5,168.47,164.97,139.48,91.48
86,5,168.47,164.97,139.48,91.48
87,5,168.47,164.97,139.48,91.48
88,1,168.47,164.97,150.52,91.48
89,1,168.47,164.97,150.52,91.48
90,1,208.04,191.04,82.73,40.16
91,1,208.04,191.04,82.73,40.16
91,6,346.58,200.8,21.48,18.66
92,1,168.47,164.97,77.47,91.48
92,6,346.58,200.8,21.48,18.66
93,5,168.47,164.97,161.9,91.48
94,1,261.6,199.55,68.77,19.09
95,1,261.6,199.55,68.77,19.09
96,1,261.6,199.55,68.77,19.09
97,1,236.18,199.55,94.19,21.28
98,1,236.18,199.55,94.19,21.28
99,1,234.12,198.23,96.25,31.44
100,1,234.12,198.23,96.25,31.44
101,1,234.12,198.23,35.42,31.44
101,6,244.59,198.86,123.47,27.34
102,1,234.12,198.23,56.65,31.44
102,6,244.59,198.86,123.47,27.34
103,1,234.12,198.23,84.87,31.44
103,6,244.59,198.86,123.47,27.34
104,1,168.47,164.97,150.52,91.48
104,6,244.59,198.86,123.47,27.34
105,5,168.47,164.97,139.48,91.48
106,5,168.47,164.97,161.9,91.48
106,6,244.59,198.86,113.24,27.34
107,7,234.12,198.23,96.25,31.44
107,6,244.59,198.86,113.24,27.34
108,1,234.12,198.23,84.87,31.44
109,6,244.59,198.86,109.49,27.34
110,6,244.59,198.86,109.49,27.34
110,5,283.76,198.85,24.19,20.9
111,6,244.59,198.86,109.49,27.34
111,5,283.76,198.85,24.19,20.9
112,6,244.59,198.86,109.49,27.34
113,6,244.59,198.86,109.49,27.34
120,1,168.47,164.97,101.07,91.48
121,1,168.47,132.27,465.03,221.73
122,1,168.47,132.27,465.03,221.73
123,1,168.47,132.27,465.03,221.73
124,1,168.47,132.27,465.03,221.73
125,1,168.47,164.97,101.07,91.48
128,1,168.47,164.97,101.07,91.48
129,1,168.47,132.27,465.03,221.73
131,1,168.47,132.27,465.03,221.73
132,1,168.47,132.27,465.03,221.73
133,1,168.47,132.27,465.03,221.73
134,1,168.47,132.27,465.03,221.73
135,1,244.59,132.27,388.91,221.73
140,1,261.6,199.55,92.48,19.68
141,1,261.6,199.55,92.48,19.68
142,1,234.12,132.27,399.38,221.73
143,1,234.12,132.27,399.38,221.73
152,1,244.59,132.27,388.91,221.73
153,1,244.59,132.27,388.91,221.73
154,1,244.59,132.27,388.91,221.73
154,7,260.03,197.65,47.92,33.57
155,7,260.03,197.65,47.92,33.57
156,7,260.03,197.65,47.92,33.57
159,7,260.03,197.65,47.92,33.57
160,7,260.03,197.65,47.92,33.57
161,7,260.03,197.65,47.92,33.57
161,8,519.23,132.27,114.27,221.73
162,1,244.59,132.27,388.91,221.73
163,1,244.59,132.27,388.91,221.73
164,7,260.03,197.65,47.92,33.57
164,8,519.23,132.27,114.27,221.73
165,7,260.03,197.65,47.92,33.57
165,8,519.23,132.27,114.27,221.73
166,8,519.23,132.27,114.27,221.73
167,8,519.23,132.27,114.27,221.73
168,8,519.23,132.27,114.27,221.73
169,8,519.23,132.27,114.27,221.73
170,1,244.59,132.27,388.91,221.73
171,1,244.59,132.27,388.91,221.73
172,1,244.59,132.27,388.91,221.73
174,1,244.59,132.27,388.91,221.73
175,1,244.59,132.27,388.91,221.73
176,8,519.23,132.27,114.27,221.73
204,5,208.04,191.04,99.91,40.16
205,5,208.04,191.04,99.91,40.16
207,5,208.04,191.04,99.91,40.16
208,5,208.04,191.04,99.91,40.16
209,5,208.04,191.04,99.91,40.16
210,5,208.04,191.04,99.91,40.16
211,5,208.04,191.04,99.91,40.16
212,5,208.04,191.04,99.91,40.16
213,5,208.04,191.04,99.91,40.16
214,5,208.04,191.04,99.91,40.16
215,1,244.59,193.77,19.62,39.61
215,5,208.04,191.04,99.91,40.16
216,1,244.59,193.77,19.62,39.61
216,5,208.04,191.04,99.91,40.16
217,1,244.59,193.77,19.62,39.61
217,5,208.04,191.04,99.91,40.16
218,1,244.59,193.77,19.62,39.61
218,5,208.04,191.04,99.91,40.16
219,1,244.59,193.77,19.62,39.61
219,5,208.04,191.04,99.91,40.16
220,1,244.59,193.77,36.4,39.61
220,5,208.04,191.04,99.91,40.16
221,1,244.59,193.77,36.4,39.61
222,1,244.59,193.77,36.4,39.61
222,8,519.23,132.27,114.27,221.73
223,1,244.59,193.77,36.4,39.61
223,8,519.23,132.27,114.27,221.73
224,1,244.59,193.77,19.62,39.61
224,8,519.23,132.27,114.27,221.73
225,1,244.59,193.77,36.4,39.61
225,8,519.23,132.27,114.27,221.73
226,1,244.59,193.77,36.4,39.61
226,8,519.23,132.27,114.27,221.73
227,1,244.59,193.77,19.62,39.61
227,8,519.23,132.27,114.27,221.73
228,1,244.59,193.77,36.4,39.61
228,8,519.23,132.27,114.27,221.73
229,1,244.59,193.77,19.62,39.61
229,8,519.23,132.27,114.27,221.73
230,1,244.59,193.77,19.62,39.61
230,8,519.23,132.27,114.27,221.73
231,1,244.59,193.77,19.62,39.61
231,8,519.23,132.27,114.27,221.73
232,1,244.59,193.77,19.62,39.61
232,8,519.23,132.27,114.27,221.73
233,1,244.59,193.77,19.62,39.61
233,8,519.23,132.27,114.27,221.73
234,1,244.59,193.77,19.62,39.61
234,8,519.23,132.27,114.27,221.73
235,1,244.59,193.77,19.62,39.61
235,8,519.23,132.27,114.27,221.73
236,1,244.59,193.77,19.62,39.61
236,8,519.23,132.27,114.27,221.73
237,1,244.59,193.77,19.62,39.61
237,8,519.23,132.27,114.27,221.73
238,1,244.59,193.77,19.62,39.61
238,8,519.23,132.27,114.27,221.73
239,1,244.59,193.77,19.62,39.61
239,8,519.23,132.27,114.27,221.73
240,1,244.59,193.77,19.62,39.61
240,8,519.23,132.27,114.27,221.73
241,1,244.59,193.77,19.62,39.61
241,8,519.23,132.27,114.27,221.73
242,1,244.59,193.77,19.62,39.61
242,8,519.23,132.27,114.27,221.73
243,1,244.59,193.77,19.62,39.61
243,8,298.91,132.27,334.59,221.73
244,1,244.59,193.77,19.62,39.61
244,8,298.91,132.27,334.59,221.73
245,1,244.59,193.77,19.62,39.61
245,8,298.91,132.27,334.59,221.73
246,1,244.59,193.77,19.62,39.61
246,8,519.23,132.27,114.27,221.73
247,1,244.59,193.77,19.62,39.61
