index,frameID,groupID,x,y,w,h
0,40.0,0.0,168.47,164.97,81.46,91.48
1,41.0,0.0,168.47,164.97,81.46,91.48
2,42.0,0.0,168.47,164.97,81.46,91.48
3,43.0,0.0,168.47,164.97,81.46,91.48
4,45.0,1.0,212.26,198.23,57.28,31.44
5,45.0,2.0,308.03,201.91,22.34,16.21
6,46.0,1.0,212.26,198.23,57.28,31.44
7,46.0,2.0,308.03,201.91,22.34,16.21
8,47.0,1.0,212.26,198.23,57.28,31.44
9,47.0,2.0,308.03,201.91,22.34,16.21
10,48.0,1.0,212.26,198.23,118.11,31.44
11,49.0,1.0,234.12,198.23,96.25,31.44
12,50.0,1.0,234.12,198.23,21.26,31.44
13,51.0,1.0,234.12,198.23,35.42,31.44
14,52.0,3.0,227.31,198.23,42.23,31.44
15,53.0,3.0,227.31,198.23,42.23,31.44
16,54.0,3.0,227.31,198.23,42.23,31.44
17,55.0,3.0,227.31,198.23,42.23,31.44
18,56.0,3.0,227.31,198.23,63.46,31.44
19,57.0,1.0,234.12,198.23,56.65,31.44
20,58.0,1.0,234.12,198.23,56.65,31.44
21,59.0,1.0,212.26,198.23,106.73,31.44
22,60.0,1.0,212.26,198.23,106.73,31.44
23,61.0,4.0,208.04,191.04,37.9,40.16
24,62.0,1.0,208.04,191.04,47.34,40.16
25,63.0,1.0,208.04,191.04,47.34,40.16
26,64.0,1.0,208.04,191.04,37.9,40.16
27,65.0,1.0,208.04,191.04,37.9,40.16
28,66.0,1.0,208.04,191.04,37.9,40.16
29,67.0,1.0,208.04,191.04,37.9,40.16
30,68.0,1.0,208.04,191.04,37.9,40.16
31,69.0,0.0,223.89,177.3,106.48,77.95
32,69.0,1.0,208.04,191.04,37.9,40.16
33,70.0,0.0,223.89,177.3,106.48,77.95
34,70.0,1.0,234.12,198.23,35.42,31.44
35,71.0,1.0,208.04,191.04,82.73,40.16
36,72.0,1.0,168.47,164.97,150.52,91.48
37,73.0,1.0,168.47,164.97,150.52,91.48
38,74.0,1.0,168.47,164.97,150.52,91.48
39,75.0,5.0,168.47,164.97,139.48,91.48
40,76.0,5.0,168.47,164.97,161.9,91.48
41,77.0,5.0,168.47,164.97,161.9,91.48
42,78.0,5.0,168.47,164.97,161.9,91.48
43,79.0,5.0,168.47,164.97,161.9,91.48
44,80.0,5.0,168.47,164.97,161.9,91.48
45,80.0,6.0,346.58,200.8,21.48,18.66
46,81.0,5.0,168.47,164.97,161.9,91.48
47,82.0,5.0,168.47,164.97,161.9,91.48
48,83.0,5.0,168.47,164.97,161.9,91.48
49,85.0,5.0,168.47,164.97,139.48,91.48
50,86.0,5.0,168.47,164.97,139.48,91.48
51,87.0,5.0,168.47,164.97,139.48,91.48
52,88.0,1.0,168.47,164.97,150.52,91.48
53,89.0,1.0,168.47,164.97,150.52,91.48
54,90.0,1.0,208.04,191.04,82.73,40.16
55,91.0,1.0,208.04,191.04,82.73,40.16
56,91.0,6.0,346.58,200.8,21.48,18.66
57,92.0,1.0,168.47,164.97,77.47,91.48
58,92.0,6.0,346.58,200.8,21.48,18.66
59,93.0,5.0,168.47,164.97,161.9,91.48
60,94.0,1.0,261.6,199.55,68.77,19.09
61,95.0,1.0,261.6,199.55,68.77,19.09
62,96.0,1.0,261.6,199.55,68.77,19.09
63,97.0,1.0,236.18,199.55,94.19,21.28
64,98.0,1.0,236.18,199.55,94.19,21.28
65,99.0,1.0,234.12,198.23,96.25,31.44
66,100.0,1.0,234.12,198.23,96.25,31.44
67,101.0,1.0,234.12,198.23,35.42,31.44
68,101.0,6.0,244.59,198.86,123.47,27.34
69,102.0,1.0,234.12,198.23,56.65,31.44
70,102.0,6.0,244.59,198.86,123.47,27.34
71,103.0,1.0,234.12,198.23,84.87,31.44
72,103.0,6.0,244.59,198.86,123.47,27.34
73,104.0,1.0,168.47,164.97,150.52,91.48
74,104.0,6.0,244.59,198.86,123.47,27.34
75,105.0,5.0,168.47,164.97,139.48,91.48
76,106.0,5.0,168.47,164.97,161.9,91.48
77,106.0,6.0,244.59,198.86,113.24,27.34
78,107.0,7.0,234.12,198.23,96.25,31.44
79,107.0,6.0,244.59,198.86,113.24,27.34
80,108.0,1.0,234.12,198.23,84.87,31.44
81,109.0,6.0,244.59,198.86,109.49,27.34
82,110.0,6.0,244.59,198.86,109.49,27.34
83,110.0,5.0,283.76,198.85,24.19,20.9
84,111.0,6.0,244.59,198.86,109.49,27.34
85,111.0,5.0,283.76,198.85,24.19,20.9
86,112.0,6.0,244.59,198.86,109.49,27.34
87,113.0,6.0,244.59,198.86,109.49,27.34
88,120.0,1.0,168.47,164.97,101.07,91.48
89,121.0,1.0,168.47,132.27,465.03,221.73
90,122.0,1.0,168.47,132.27,465.03,221.73
91,123.0,1.0,168.47,132.27,465.03,221.73
92,124.0,1.0,168.47,132.27,465.03,221.73
93,125.0,1.0,168.47,164.97,101.07,91.48
94,128.0,1.0,168.47,164.97,101.07,91.48
95,129.0,1.0,168.47,132.27,465.03,221.73
96,131.0,1.0,168.47,132.27,465.03,221.73
97,132.0,1.0,168.47,132.27,465.03,221.73
98,133.0,1.0,168.47,132.27,465.03,221.73
99,134.0,1.0,168.47,132.27,465.03,221.73
100,135.0,1.0,244.59,132.27,388.91,221.73
101,140.0,1.0,261.6,199.55,92.48,19.68
102,141.0,1.0,261.6,199.55,92.48,19.68
103,142.0,1.0,234.12,132.27,399.38,221.73
104,143.0,1.0,234.12,132.27,399.38,221.73
105,152.0,1.0,244.59,132.27,388.91,221.73
106,153.0,1.0,244.59,132.27,388.91,221.73
107,154.0,1.0,244.59,132.27,388.91,221.73
108,154.0,7.0,260.03,197.65,47.92,33.57
109,155.0,7.0,260.03,197.65,47.92,33.57
110,156.0,7.0,260.03,197.65,47.92,33.57
111,159.0,7.0,260.03,197.65,47.92,33.57
112,160.0,7.0,260.03,197.65,47.92,33.57
113,161.0,7.0,260.03,197.65,47.92,33.57
114,161.0,8.0,519.23,132.27,114.27,221.73
115,162.0,1.0,244.59,132.27,388.91,221.73
116,163.0,1.0,244.59,132.27,388.91,221.73
117,164.0,7.0,260.03,197.65,47.92,33.57
118,164.0,8.0,519.23,132.27,114.27,221.73
119,165.0,7.0,260.03,197.65,47.92,33.57
120,165.0,8.0,519.23,132.27,114.27,221.73
121,166.0,8.0,519.23,132.27,114.27,221.73
122,167.0,8.0,519.23,132.27,114.27,221.73
123,168.0,8.0,519.23,132.27,114.27,221.73
124,169.0,8.0,519.23,132.27,114.27,221.73
125,170.0,1.0,244.59,132.27,388.91,221.73
126,171.0,1.0,244.59,132.27,388.91,221.73
127,172.0,1.0,244.59,132.27,388.91,221.73
128,174.0,1.0,244.59,132.27,388.91,221.73
129,175.0,1.0,244.59,132.27,388.91,221.73
130,176.0,8.0,519.23,132.27,114.27,221.73
131,204.0,5.0,208.04,191.04,99.91,40.16
132,205.0,5.0,208.04,191.04,99.91,40.16
133,207.0,5.0,208.04,191.04,99.91,40.16
134,208.0,5.0,208.04,191.04,99.91,40.16
135,209.0,5.0,208.04,191.04,99.91,40.16
136,210.0,5.0,208.04,191.04,99.91,40.16
137,211.0,5.0,208.04,191.04,99.91,40.16
138,212.0,5.0,208.04,191.04,99.91,40.16
139,213.0,5.0,208.04,191.04,99.91,40.16
140,214.0,5.0,208.04,191.04,99.91,40.16
141,215.0,1.0,244.59,193.77,19.62,39.61
142,215.0,5.0,208.04,191.04,99.91,40.16
143,216.0,1.0,244.59,193.77,19.62,39.61
144,216.0,5.0,208.04,191.04,99.91,40.16
145,217.0,1.0,244.59,193.77,19.62,39.61
146,217.0,5.0,208.04,191.04,99.91,40.16
147,218.0,1.0,244.59,193.77,19.62,39.61
148,218.0,5.0,208.04,191.04,99.91,40.16
149,219.0,1.0,244.59,193.77,19.62,39.61
150,219.0,5.0,208.04,191.04,99.91,40.16
151,220.0,1.0,244.59,193.77,36.4,39.61
152,220.0,5.0,208.04,191.04,99.91,40.16
153,221.0,1.0,244.59,193.77,36.4,39.61
154,222.0,1.0,244.59,193.77,36.4,39.61
155,222.0,8.0,519.23,132.27,114.27,221.73
156,223.0,1.0,244.59,193.77,36.4,39.61
157,223.0,8.0,519.23,132.27,114.27,221.73
158,224.0,1.0,244.59,193.77,19.62,39.61
159,224.0,8.0,519.23,132.27,114.27,221.73
160,225.0,1.0,244.59,193.77,36.4,39.61
161,225.0,8.0,519.23,132.27,114.27,221.73
162,226.0,1.0,244.59,193.77,36.4,39.61
163,226.0,8.0,519.23,132.27,114.27,221.73
164,227.0,1.0,244.59,193.77,19.62,39.61
165,227.0,8.0,519.23,132.27,114.27,221.73
166,228.0,1.0,244.59,193.77,36.4,39.61
167,228.0,8.0,519.23,132.27,114.27,221.73
168,229.0,1.0,244.59,193.77,19.62,39.61
169,229.0,8.0,519.23,132.27,114.27,221.73
170,230.0,1.0,244.59,193.77,19.62,39.61
171,230.0,8.0,519.23,132.27,114.27,221.73
172,231.0,1.0,244.59,193.77,19.62,39.61
173,231.0,8.0,519.23,132.27,114.27,221.73
174,232.0,1.0,244.59,193.77,19.62,39.61
175,232.0,8.0,519.23,132.27,114.27,221.73
176,233.0,1.0,244.59,193.77,19.62,39.61
177,233.0,8.0,519.23,132.27,114.27,221.73
178,234.0,1.0,244.59,193.77,19.62,39.61
179,234.0,8.0,519.23,132.27,114.27,221.73
180,235.0,1.0,244.59,193.77,19.62,39.61
181,235.0,8.0,519.23,132.27,114.27,221.73
182,236.0,1.0,244.59,193.77,19.62,39.61
183,236.0,8.0,519.23,132.27,114.27,221.73
184,237.0,1.0,244.59,193.77,19.62,39.61
185,237.0,8.0,519.23,132.27,114.27,221.73
186,238.0,1.0,244.59,193.77,19.62,39.61
187,238.0,8.0,519.23,132.27,114.27,221.73
188,239.0,1.0,244.59,193.77,19.62,39.61
189,239.0,8.0,519.23,132.27,114.27,221.73
190,240.0,1.0,244.59,193.77,19.62,39.61
191,240.0,8.0,519.23,132.27,114.27,221.73
192,241.0,1.0,244.59,193.77,19.62,39.61
193,241.0,8.0,519.23,132.27,114.27,221.73
194,242.0,1.0,244.59,193.77,19.62,39.61
195,242.0,8.0,519.23,132.27,114.27,221.73
196,243.0,1.0,244.59,193.77,19.62,39.61
197,243.0,8.0,298.91,132.27,334.59,221.73
198,244.0,1.0,244.59,193.77,19.62,39.61
199,244.0,8.0,298.91,132.27,334.59,221.73
200,245.0,1.0,244.59,193.77,19.62,39.61
201,245.0,8.0,298.91,132.27,334.59,221.73
202,246.0,1.0,244.59,193.77,19.62,39.61
203,246.0,8.0,519.23,132.27,114.27,221.73
204,247.0,1.0,244.59,193.77,19.62,39.61
205,247.0,8.0,519.23,132.27,114.27,221.73
206,248.0,1.0,244.59,193.77,19.62,39.61
207,248.0,8.0,519.23,132.27,114.27,221.73
208,249.0,1.0,244.59,193.77,19.62,39.61
209,249.0,8.0,519.23,132.27,114.27,221.73
210,250.0,1.0,244.59,193.77,19.62,39.61
211,250.0,8.0,208.04,132.27,425.46,221.73
212,251.0,1.0,244.59,193.77,19.62,39.61
213,251.0,8.0,208.04,132.27,425.46,221.73
214,252.0,1.0,244.59,193.77,19.62,39.61
215,252.0,8.0,208.04,132.27,425.46,221.73
216,253.0,1.0,244.59,193.77,19.62,39.61
217,253.0,8.0,519.23,132.27,114.27,221.73
218,254.0,1.0,244.59,193.77,19.62,39.61
219,254.0,8.0,519.23,132.27,114.27,221.73
220,255.0,1.0,244.59,193.77,19.62,39.61
221,255.0,8.0,519.23,132.27,114.27,221.73
222,256.0,1.0,244.59,193.77,19.62,39.61
223,256.0,8.0,519.23,132.27,114.27,221.73
224,257.0,1.0,244.59,193.77,19.62,39.61
225,257.0,8.0,519.23,132.27,114.27,221.73
226,258.0,1.0,244.59,193.77,19.62,39.61
227,258.0,8.0,519.23,132.27,114.27,221.73
228,259.0,1.0,244.59,193.77,19.62,39.61
229,259.0,8.0,519.23,132.27,114.27,221.73
230,260.0,1.0,244.59,193.77,19.62,39.61
231,260.0,8.0,519.23,132.27,114.27,221.73
232,261.0,1.0,244.59,193.77,19.62,39.61
233,261.0,8.0,519.23,132.27,114.27,221.73
234,262.0,1.0,244.59,193.77,19.62,39.61
235,262.0,8.0,519.23,132.27,114.27,221.73
236,263.0,1.0,244.59,193.77,19.62,39.61
237,263.0,8.0,519.23,132.27,114.27,221.73
238,264.0,1.0,244.59,193.77,19.62,39.61
239,264.0,8.0,519.23,132.27,114.27,221.73
240,265.0,1.0,244.59,193.77,19.62,39.61
241,265.0,8.0,519.23,132.27,114.27,221.73
242,266.0,1.0,244.59,193.77,19.62,39.61
243,266.0,8.0,519.23,132.27,114.27,221.73
244,267.0,1.0,244.59,193.77,19.62,39.61
245,267.0,8.0,519.23,132.27,114.27,221.73
246,268.0,1.0,244.59,193.77,19.62,39.61
247,268.0,8.0,519.23,132.27,114.27,221.73
248,269.0,1.0,244.59,193.77,19.62,39.61
249,269.0,8.0,519.23,132.27,114.27,221.73
250,270.0,1.0,244.59,193.77,19.62,39.61
251,270.0,8.0,519.23,132.27,114.27,221.73
252,271.0,1.0,244.59,193.77,19.62,39.61
253,271.0,8.0,519.23,132.27,114.27,221.73
254,272.0,1.0,244.59,193.77,19.62,39.61
255,272.0,8.0,519.23,132.27,114.27,221.73
256,273.0,1.0,244.59,193.77,19.62,39.61
257,273.0,8.0,519.23,132.27,114.27,221.73
258,274.0,1.0,244.59,193.77,19.62,39.61
259,274.0,8.0,519.23,132.27,114.27,221.73
260,275.0,1.0,244.59,193.77,19.62,39.61
261,275.0,8.0,519.23,132.27,114.27,221.73
262,276.0,1.0,244.59,193.77,19.62,39.61
263,276.0,8.0,519.23,132.27,114.27,221.73
264,278.0,1.0,93.55,176.0,161.83,70.68
265,278.0,8.0,335.92,132.27,297.58,221.73
266,279.0,1.0,93.55,176.0,161.83,70.68
267,279.0,8.0,335.92,132.27,297.58,221.73
268,280.0,1.0,93.55,176.0,161.83,70.68
269,280.0,8.0,335.92,132.27,297.58,221.73
270,281.0,1.0,93.55,176.0,161.83,70.68
271,281.0,8.0,335.92,132.27,297.58,221.73
272,282.0,1.0,93.55,176.0,161.83,70.68
273,282.0,8.0,335.92,132.27,297.58,221.73
274,283.0,1.0,93.55,176.0,161.83,70.68
275,283.0,8.0,335.92,132.27,297.58,221.73
276,284.0,1.0,93.55,176.0,161.83,70.68
277,284.0,8.0,335.92,132.27,297.58,221.73
278,285.0,1.0,93.55,176.0,161.83,70.68
279,285.0,8.0,335.92,132.27,297.58,221.73
280,286.0,1.0,93.55,176.0,161.83,70.68
281,286.0,8.0,335.92,132.27,297.58,221.73
282,287.0,1.0,93.55,176.0,161.83,70.68
283,287.0,8.0,335.92,132.27,297.58,221.73
284,288.0,1.0,93.55,176.0,161.83,70.68
285,288.0,8.0,335.92,132.27,297.58,221.73
286,289.0,1.0,93.55,176.0,161.83,70.68
287,289.0,8.0,335.92,132.27,297.58,221.73
288,290.0,1.0,93.55,176.0,161.83,70.68
289,290.0,8.0,335.92,132.27,297.58,221.73
290,291.0,1.0,93.55,176.0,161.83,70.68
291,291.0,8.0,335.92,132.27,297.58,221.73
292,292.0,1.0,93.55,176.0,161.83,70.68
293,292.0,8.0,335.92,132.27,297.58,221.73
294,293.0,1.0,93.55,176.0,161.83,70.68
295,293.0,8.0,335.92,132.27,297.58,221.73
296,294.0,1.0,93.55,176.0,161.83,70.68
297,294.0,8.0,335.92,132.27,297.58,221.73
298,295.0,1.0,93.55,176.0,161.83,70.68
299,295.0,8.0,335.92,132.27,297.58,221.73
300,296.0,1.0,93.55,176.0,161.83,70.68
301,296.0,8.0,335.92,132.27,297.58,221.73
302,297.0,1.0,93.55,176.0,161.83,70.68
303,297.0,8.0,335.92,132.27,297.58,221.73
304,298.0,1.0,93.55,176.0,161.83,70.68
305,298.0,8.0,335.92,132.27,297.58,221.73
306,299.0,1.0,93.55,176.0,161.83,70.68
307,299.0,8.0,335.92,132.27,297.58,221.73
308,300.0,1.0,93.55,176.0,161.83,70.68
309,300.0,8.0,248.92,132.27,384.58,221.73
310,301.0,1.0,93.55,176.0,161.83,70.68
311,301.0,8.0,248.92,132.27,384.58,221.73
312,302.0,1.0,93.55,176.0,161.83,70.68
313,302.0,8.0,248.92,132.27,384.58,221.73
314,303.0,1.0,93.55,176.0,161.83,70.68
315,303.0,8.0,248.92,132.27,384.58,221.73
316,304.0,1.0,93.55,176.0,161.83,70.68
317,304.0,8.0,248.92,132.27,384.58,221.73
318,305.0,1.0,93.55,176.0,161.83,70.68
319,305.0,8.0,335.92,132.27,297.58,221.73
320,306.0,1.0,93.55,176.0,161.83,70.68
321,306.0,8.0,321.93,132.27,311.57,221.73
322,307.0,1.0,93.55,176.0,161.83,70.68
323,307.0,8.0,321.93,132.27,311.57,221.73
324,308.0,1.0,93.55,176.0,161.83,70.68
325,308.0,8.0,321.93,132.27,311.57,221.73
326,309.0,1.0,93.55,176.0,161.83,70.68
327,309.0,8.0,333.72,132.27,299.78,221.73
328,310.0,1.0,93.55,176.0,161.83,70.68
329,310.0,8.0,333.72,132.27,299.78,221.73
330,311.0,1.0,93.55,176.0,161.83,70.68
331,311.0,8.0,321.93,132.27,311.57,221.73
332,312.0,1.0,93.55,176.0,161.83,70.68
333,312.0,8.0,321.93,132.27,311.57,221.73
334,313.0,1.0,93.55,176.0,161.83,70.68
335,313.0,8.0,333.72,132.27,299.78,221.73
336,314.0,1.0,93.55,176.0,161.83,70.68
337,314.0,8.0,335.92,132.27,297.58,221.73
338,315.0,1.0,93.55,176.0,161.83,70.68
339,315.0,8.0,335.92,132.27,297.58,221.73
340,316.0,1.0,93.55,176.0,161.83,70.68
341,316.0,8.0,335.92,132.27,297.58,221.73
342,317.0,1.0,93.55,176.0,161.83,70.68
343,317.0,8.0,335.92,132.27,297.58,221.73
344,318.0,1.0,93.55,176.0,161.83,70.68
345,318.0,8.0,335.92,132.27,297.58,221.73
346,319.0,8.0,335.92,132.27,297.58,221.73
347,320.0,8.0,335.92,132.27,297.58,221.73
348,320.0,9.0,321.93,199.45,23.37,27.76
349,321.0,8.0,333.72,191.97,22.77,48.07
350,324.0,10.0,335.13,190.49,37.56,43.3
351,325.0,10.0,335.13,190.49,37.56,43.3
352,326.0,10.0,335.13,190.49,37.56,43.3
353,327.0,10.0,321.93,190.49,50.76,43.3
354,328.0,10.0,321.93,190.49,50.76,43.3
355,329.0,10.0,335.13,190.49,37.56,49.55
356,330.0,10.0,335.13,190.49,37.56,49.55
357,331.0,10.0,335.13,190.49,37.56,43.3
358,332.0,10.0,335.13,190.49,37.56,43.3
359,333.0,10.0,335.13,190.49,37.56,43.3
360,334.0,10.0,335.13,190.49,37.56,43.3
361,335.0,10.0,335.13,190.49,37.56,43.3
362,336.0,10.0,335.13,190.49,37.56,43.3
363,337.0,10.0,321.93,190.49,50.76,49.55
364,338.0,8.0,321.93,132.27,311.57,221.73
365,339.0,8.0,333.72,132.27,299.78,221.73
366,340.0,8.0,335.92,132.27,297.58,221.73
367,342.0,8.0,321.93,192.81,50.76,39.39
368,343.0,8.0,321.93,192.81,50.76,39.39
369,344.0,8.0,321.93,192.81,50.76,39.39
370,345.0,8.0,321.93,192.81,50.76,39.39
371,346.0,8.0,321.93,192.81,50.76,39.39
372,347.0,8.0,321.93,132.27,311.57,221.73
373,348.0,8.0,321.93,132.27,311.57,221.73
374,349.0,8.0,321.93,132.27,311.57,221.73
375,350.0,8.0,321.93,132.27,311.57,221.73
376,351.0,8.0,283.29,132.27,350.21,221.73
377,352.0,8.0,283.29,132.27,350.21,221.73
378,353.0,8.0,283.29,132.27,350.21,221.73
379,354.0,8.0,321.93,132.27,311.57,221.73
380,355.0,8.0,321.93,192.81,50.76,39.39
