frameID,groupID,x,y,w,h
16000,0,285.29,154.59,104.99,55.33
16000,1,4.77,132.81,82.2,48.51
16006,2,6.53,134.13,144.3,213.11
16007,2,6.53,134.13,144.3,213.11
16008,2,6.53,134.13,144.3,213.11
16009,2,6.53,134.13,144.3,213.11
16010,2,6.53,134.13,144.3,213.11
16011,2,6.53,134.13,144.3,213.11
16012,2,6.53,134.13,144.3,213.11
16013,2,6.53,134.13,144.3,213.11
16014,2,6.53,134.13,144.3,213.11
16015,2,6.53,134.13,144.3,213.11
16016,2,6.53,134.13,144.3,213.11
16017,2,6.53,134.13,144.3,213.11
16018,2,6.53,134.13,144.3,213.11
16019,2,6.53,134.13,144.3,213.11
16020,2,6.53,134.13,144.3,213.11
16021,2,6.53,134.13,144.3,213.11
16022,2,6.53,134.13,144.3,213.11
16023,2,6.53,134.13,144.3,213.11
16024,2,6.53,134.13,144.3,213.11
16025,2,6.53,134.13,144.3,213.11
16026,2,6.53,134.13,144.3,213.11
16027,2,6.53,134.13,144.3,213.11
16028,2,6.53,134.13,144.3,213.11
16029,2,6.53,134.13,144.3,213.11
16030,2,6.53,134.13,144.3,213.11
16031,2,6.53,134.13,144.3,213.11
16032,2,6.53,134.13,144.3,213.11
16033,2,6.53,134.13,144.3,213.11
16034,2,6.53,134.13,144.3,213.11
16035,2,6.53,134.13,144.3,213.11
16036,2,6.53,134.13,144.3,213.11
16074,2,8.35,139.57,142.48,207.67
16075,2,8.35,139.57,142.48,207.67
16076,2,8.35,139.57,142.48,207.67
16078,2,51.37,139.57,99.46,207.67
16079,2,51.37,139.57,99.46,207.67
16080,2,51.37,139.57,99.46,207.67
16081,2,51.37,139.57,99.46,207.67
16082,2,51.37,139.57,99.46,207.67
16083,2,51.37,139.57,99.46,207.67
16084,2,51.37,139.57,99.46,207.67
16085,2,8.35,139.57,142.48,207.67
16086,2,51.37,139.57,99.46,207.67
16087,2,8.35,139.57,142.48,207.67
16088,2,8.35,139.57,142.48,207.67
16089,2,8.35,139.57,142.48,207.67
16090,2,8.35,139.57,142.48,207.67
16091,2,8.35,139.57,142.48,207.67
16092,2,8.35,139.57,142.48,207.67
16093,2,8.35,139.57,142.48,207.67
16094,2,8.35,139.57,142.48,207.67
16095,2,8.35,139.57,142.48,207.67
16096,2,8.35,139.57,142.48,207.67
16097,2,8.35,139.57,142.48,207.67
16098,2,8.35,139.57,142.48,207.67
16099,2,51.37,139.57,99.46,207.67
16102,2,51.37,139.57,99.46,207.67
16103,2,51.37,139.57,99.46,207.67
